Labeled Data|Final Label
We do a lot of work for and with the social media interns.|NA
There was a critical meeting with the director of Laurens County half way through the semester.|NA
"Each person in the meeting had their time to speak and each fulfilled a leadership role for the areas they were in the meeting to present.
"|IDK
At my internship with CAPS|NA
I work with another intern.|NA
Our mentor suggested we give out pens on library bridge; however, my coworker thought stickers would be better considering college students use them more often.|NA
I encouraged my coworker to tell our mentor that the stickers had a potential to be better for reaching students.|TF
She was hesitant because she didn't want to interfere with our mentors plans, but after encouraging her that it was a great idea she went to our mentor and told her.|TF
Everyone helped each other and used their strengths to assist the others.|TF
"It was a great example of how much better events can be when people contributed their strengths to achieve an overall goal. 
"|IDK
"We had monthly ambassador meetings where a group of us within Campus Recreation would meet and share ideas with one another on how we could better the department and what steps needed to be taken to do so.
"|TF
We had one concept for a video that not everyone was on board to do.|NA
We had several meetings to discuss what is the next step for the ReadingRecovery website.|NA
I regularly offered to write content and take on responsibility for the group.|IDK
"This allowed me to assume a leadership role in the group. 
"|IDK
"Therefore we can all relate to each others projects and give feedback to each other, however we were all leaders for our specific fields.
"|TF
"We all get together and talk about our different ideas for the contests.
"|IDK
We were doing portraits once|NA
"and it was fun.
"|NA
In the meeting, the department supervisor first summaries about the accomplishments of the department in the previous month.|IDK
"He also tried to come up with suggestions or plans to help employees to become more successfully.
"|IDK
We have one employee, Richard, who is highly efficient with the Hardinge CNC lathe.|NA
"I will lead the discussion sometimes
"|IDK
"It seemed like it would never end, but I was responsible for reporting our progress back to the candidate and his campaign manager. 
"|NA
At our last meeting of the semster, our site mentor asked each of the student interns what he could do for next semester to make us more able to do our jobs.|TF
We ran a competition to get more likes to our Facebook page.|NA
This was one of our main goals as we wanted our members to be able to reach us through multiple platforms.|IDK
We were down an administrative position for most of the semester and there was a new intern that joined the team.|NA
We worked on a big student profiler project where I was able to edit and organize profiles of students who have received scholarships from Clemson donors.|NA
"It was interesting to be able to listen to the entrepreneur when they gave advice and sort of walked all of the interns through how they started their own businesses.
"|IDK
I would listen to their points of view and then together we would look and find programs that fit into their schedule and curriculum|TF
When brainstorming ideas for video content, we often had different ideas.|NA
logo was the common goal, and each staff member had a different point of view on what the logo should look like.|NA
when discussing new project ideas for the future, the floor is always open for different ideas to accomplish goals.|TF
"One of those long goals has been moving the Makerspace to Hendrix to expand
"|TC
-When editing the fitness and tour video, I offered some examples of different techniques we could use for transitions between the clips.|NA
Because of this there are many opportunities to inspire others while also receiving feedback from other viewpoints.|TF
When first designing the website for occupancy data, I encouraged discussion about the user interface and functionality of the website by asking questions about the end user and the uses to which collected occupancy data could be put.|TF
The discussion was open and it got to a point when I disagreed with my supervisor about which intern we should higher.|IDK
Our common goal was to improve my projects as best as we could.|NA
I tried to have student understand the overall goals of both departments and how they connect to what employers want to see in the workforce.|IDK
When I put on programs at a local school's summer reading camp, I taught a group of third grade students.|NA
"These discussions lead to talk about their future goals and where the world will be in years to come.
"|IDK
"Of course sharing that info with me is helpful as well because its all a learning experience for both of us. 
"|NA
"When installing parts for a new car, there is a specific 'new model team' that works on the line to install new complex parts before they go into mass production, and when a part needs to be installed on the cube perfectly, my manager would call the new model team from the assembly line to ensure the part was placed properly, and to help troubleshoot potential problems they saw with installation before gaps and flushness were discussed. 
"|IDK
When it came to leadership, I was more behind the scenes observing other leaders in action.|NA
"Being able to watch the President lead other faculty members and discuss things in higher education. 
"|IDK
At the beginning of the internship with Healthy Campus, I completed CPE or Certified Peer Educator training.|NA
When I did get the call back about the real internship, I researched the program, practiced what I would say, and had all the questions ready to show my great interest.|NA
"When I was mentally and physically ready in the interviewer, I felt like the leader, I was in control of the interview to get more information I needed to succeed in this intern.
"|TC
"I combined all of the thoughts to make the updates. 
"|IDK
"When tasked with producing a video, Dr. Northcutt assigned several people separate jobs that were in tune with our technical and creative strengths so that we could produce the video efficiently. 
"|TC
I invited everyone to reflect on what about our role should change moving forward.|TF
When the other PEER|NA
and I created the survey to gauge the minority experience at Clemson.|NA
When the Senior Scholars came to the lab I took the leadership role and tried to guide them on the best ways to do things rather than simply just telling them how it is.|TF
"I also assisted in breaking up the classification of prior and current transactions to fit with our new classification. 
"|TF
When we started working orientation sessions, we were using a questionnaire board as our visual draw for students.|NA
However, after a couple of sessions, we noticed that many people were put off by the excessive amount of words on the board.|NA
Since many of us were not use to being given such freedom on a big project like this we often felt overwhelmed, so to help alleviate this I asked the other interns via email or personally what their ideas were|TF
"I encouraged my team to express different ideas they had for this to create a new vision for our workshops.
"|TF
He was trying to figure out a great way to display the comparisons over the years to a group of people who knew nothing about this project.|NA
I believe this was an incredible way to me to analyze progress and present future topics that needed to be implemented again.|TC
When working with our graduate assistant on creating mentor modules for Canvas, we were able to work together to review the manual and create a vision for our project.|TF
"This involved checking in with her on a regular basis about the status of the project and asking how I can contribute or help move it along for use next semester. 
"|IDK
Whenever we had our social media team meetings, we stressed that no idea was stupid.|NA
Whenever we went on site, John really took charge of the project.|IDK
"we worked to develop an idea that everyone liked and everyone had a role in making it come to life. 
"|TF
This wasn't always the case though--they added on 4 more volunteers towards the end of fall 2017.|NA
"Keeping all of the children engaged and contributing to the task at hand was hard but a very rewarding job.
"|IDK
While I am a part of a marketing team, I am the main marketing assistant and ultimately responsible for communicating with stakeholders.|NA
"It was then my job to present this final product to all of the stakeholders including both department heads, my advisors, and my team.
"|NA
While I am not in charge of a team of people, I do encourage those around me to do their best.|IDK
While I was in Haiti, we were visited by USAID who were scouting out locations to bring dignitaries when they visit the country.|NA
All in all, it was a successful meeting and the representative left very impressed that a place like Cange existed in the midst of one of the poorest regions in the country.|NA
"so the teamwork worked out in the end.
"|NA
"I received input from others and together, after finalizing the forms, we presented it to our site mentor, who supported the project.
"|NA
"While working here, I noticed that my mentor would take note of my areas of study in school, as well as my previous professional knowledge in order to maximize my productivity by assigning me projects that I would be most likely to be capable of doing in a timely manner.
"|IDK
To initiate a conversation and highlight all the different outcomes and parameters, I requested a meeting for the Pneumatics group and listed a number of questions to be asked.|TC
"The meeting was a success as I came to know a number of different parameters and conditions that I wasn't initially aware of.
"|NA
While working with the Social Media team, I attended weekly meetings to outline goals and content that we would be creating and uploading during the week.|TC
With Andy I have helped him discuss options for the video he was working on and give feedback and suggestions.|TF
"Helping me select some of the better ones or to get rid of a few.
"|NA
With three interns on the team this summer, Sam had us split up work based on our skills and our interests.|TC
I noticed how one intern was in charge of learning and contributing to iOS work, which was lighter, and two of us contributed to backend work, which was of more pressing need.|IDK
"I communicated a couple different ideas with them on how to go about the analysis and we worked well together to make it happen.
"|TF
While my coworker was feeling discouraged because it was so close to final exams, but I came up with the idea to split up the assignment evenly so that neither of us felt overwhelmed.|TF
"This is one of my leadership characteristic in my work.
"|NA
Working at a manufactoring plant, I was able to see firsthand how much teamwork was necessary to achieve goals.|NA
Because it is a small business, I felt comfortable enough to address the low morale employees and tell them the only way it'll ever get better is to address the issues.|IDK
"Though both people in my office are full time employees, they created a space where I was comfortable to encourage discussion on my own and express my points of view that were able to change mindsets at times. 
"|TF
Based on my research objective I formulated a set of methodologies and shared them with my mentor and fellow interns.|TF
Because of my role as a manager, I set the example for my coworkers and staff members.|TC
Before certain shifts, the leaders would sometimes brief us on the shift we were about to do.|IDK
Before the beginning of every semester, the CEDC Board of Directors takes a retreat to discuss goals for the semester as they align with the goals of our organization over all.|TC
Then in the semester planning session, we were able to bring these long-term ideas into the perspective of what could be executed within a semester.|TC
Each project, each task must align with the mission statement, so it has been vital in all meetings and classes this semester to bring the group back to our mission statement.|TC
"Everyone was able to ask relevant questions and express concerns before we came to a group decision on how to set up the plots.
"|TF
"There were many instances where I would be overwhelmed with large projects, but would effectively communicate the plan and vision with others so that they could create the graphics I needed.
"|TC
My mentor, the CORE director, displayed a lot of leadership skills.|NA
"Being put in charge of the Clemson Light Imaging Facility gave me a basic understanding of Leadership, this allowed me to understand the requirements and needs to be in charge of a task and a project.
"|TC
I don't mind this at all, I love where I work|NA
One of the interns was stuck on how to fill up tanks because the pipes broke and the nearest place to fill them up was 7 miles away at the lab.|NA
"Then, in communicating the results of the study and my recommendations to my superiors, I helped Parking achieve its goal of most efficiently using the spaces we already have.
"|IDK
"By writing the operations manual and being the maintenance lead, I display the role of leadership and will guide the team in the fall 2018.
"|IDK
Although I cannot observe these sessions because of strict confidentiality rules, I have spoken to clinicians and have realized the benefits.|NA
I have learned that these clinicians must remain calm and level headed and must be sensitive to the diverse backgrounds and needs of all clients.|IDK
CAPS runs many therapy groups every week.|NA
"Communicated outcomes from TOD meetings with correct stakeholders, to make sure everything goes smoothly.
"|TC
Considering my relationship with the student athlete body, my supervisor had me learn a needs based approach when it came to sending out weekly wellness messages.|IDK
"The connection I had to the rest of the student athletes helped me understand the health topics to cover. 
"|NA
Thus, keeping the same suppliers and avoiding unnecessarily adding new parts/vendors to the internal system is encouraged.|NA
"Dave has been working on getting C3m updated by making many calls to other companies.
"|NA
I was never treated as an intern in this case.|NA
"This had always inspired me to get people who are new on the job - site, to communicate with others. 
"|IDK
"Dr. Ardern is an excellent leader and treats everyone with utmost respect
"|IDK
Leading a meeting with senior professors in the nursing program was a unique and rewarding experience.|IDK
"Dr. Riggs is good at encouraging the best work out of her reserachers
"|IDK
"Dr. Vernon showed me how to read and understand material and then turn that information into questions.
"|NA
"Stefanie was very good at seeing people's strong suits and finding the best places and projects for them. 
"|IDK
"During the meeting, several members from different departments and colleges within UDT were individually spotlighted for their incredible efforts in keeping a good relationship with their donors as well as being an asset to the team. 
"|IDK
He had brought in people from various backgrounds for the brainstorming session.|IDK
I had noticed that the importance given to interns like me was massive.|NA
A majority of the work we did was teamed based.|NA
During a weekly meeting we would discuss challenges and progress for the current project we were working on.|IDK
During academic recovery workshops, I led students in small groups that focused on them reaching the shared goal and vision of transferring to Clemson and what ways they could reach that goal.|IDK
"During lab meetings, Dr. Alper recognizes our accomplishments and facilitates us to interact or collaborate on specific aspects of our individual projects that may have some overlap
"|TF
During meetings I would make sure everyone understood where I was and what roadblocks I was experiencing.|IDK
"Through discussion we were able to made videos that are professional as well as emotional for Clemson's social media page.
"|IDK
My supervisor, made me and a team of people work on it on the same.|IDK
I also attended scrap meetings which took place with the COO of the plant.|NA
The first semester I worked this internship I worked underneath a different clinician.|NA
Sarah stepped up to the role and she did an amazing job.|NA
I recruited the other Killam fellows to participate in these information sessions, as well as other faculty of the Study Abroad office.|NA
"During my employer's meetings, he recognizes each employee's unique abilities and delegates projects according to their specific skill level.
"|TC
During my first few weeks of my internship I was still getting used to the lifestyle of working long days outdoors.|NA
He was able to do this by reasoning with logic.|NA
"The CTGA, which was hosting the committee, gained the help of volunteers through my efforts, and we had a successful event overall.
"|NA
"Allowing the connection of these two organizations to come together to work on having a hiking trip held for the LLC.
"|TF
During my internship many times I had to create a presentation that I would present to the research group.|NA
"Each week we would have a team meeting in which I reported the successes of our social media campaigns to the other employees. 
"|TC
During my internship, I created an initiative to create a project on campus.|TF
In the recent months, training new people was becoming difficult because many of our trainers would take different paths which confused the trainee.|NA
"During my internship, I took lead of the Control Documentation team for new programs and co-operatively led the cross functional team in an effectively managing their individual schedule to meet my target deadline hassle free
"|TC
During my internship, I was able to train the new Student Event Coordinator as this is my last semester working as an SEC.|IDK
"Also, it has been so amazing to see him excel in his position, so much that we were able to plan a President's social! 
"|TC
During my internship, I was always eager to get those around me engaged in conversation.|TF
At one of the meetings, we had to make a decision on how to proceed with a particular form of Lock Out, Tag Out (LOTO) within the facility.|IDK
Instead of the managerial staff leading the meeting, the foreman on each shift were asked to lead this particular meeting because they were the on the floor experts who used it every day.|IDK
One such occasion was a meeting with housing on getting students checked into housing after hours.|NA
During my internship, I was responsible for attending committee meetings surrounding the revised common rule, and taking minutes and sending follow ups.|NA
"I gave them my input of what I think should have gone better, which spurred ideas and conclusions to solve our problem.
"|TF
During my internship, we had an issue with the chlorinator used to treat water in the village water system.|NA
For some unknown reason, the caps that allow the machine to be opened and closed for chlorine installation blew up in the middle of the night.|NA
I published the article on LinkedIn where our program supporters were able to read it and give feedback.|TF
During my internship, we have had a few team meetings in order to make sure everyone is on the right page.|IDK
During my internship, we would have meetings to discuss marketing ideas for upcoming campaigns.|NA
During my intership, I had the opportunity to work with a few other interns.|NA
During my time as the wellness intern, I have been able to empower the students to achieve their vision of becoming overall 'well' while here at Clemson.|TF
This was extremely exciting and after a few days, we needed to communicate to shareholders about the recent transaction.|NA
"After that went well, I was asked to write other important communications and transaction press releases to investors. 
"|NA
During my time at work, I notice the operation's mentor developing the group of students under his leadership.|TF
"During my time here, my boss led my coworkers and I to the goal of achieving a recognized social media presence for the Conference Center and Inn.
"|TC
"During office meetings or Push notification meetings I would try to let others speak and listen to ideas for every person in the room.
"|TF
During one of our intern meetings, our supervisors told us that we were about one hundred students short of making the quota that had been set for students going abroad this summer, based off of last year's reports.|TC
I felt that it was necessary for us all to periodically discuss our progress and to look over each other's parts to ensure that all sides of the argument had been covered and to gain feedback from different viewpoints in order to strengthen the argument.|TC
We sat down with the operation leads in Hall 50 to optimize our meetings as they never spend more than 30 minutes in escalation meetings.|TC
"During one of the first meetings after this new process that my boss couldnt make I had to step in and explain this new process to the assembly line section leaders.
"|TC
"I even helped lead the conversation when talking about the marketing strategy.
"|IDK
During our weekly meetings I used to observe our supervisor gives the same amount of time and right to everyone in the team to express her/his thoughts about different topics and concerns.|IDK
"He never pushed his initial opinion and always applied positive aspects of the other members to form a more effective team.
"|TF
"During our weekly rec rides where I had volunteers assist me
"|NA
"This was an open discussion that allowed others to express their opinions and develop a goal and plan for the semester.
"|TF
During planning for language classes, one of the programs at my internship, we sat down to discuss alternatives to how the programs are currently run and offered our different points of view to make sure the programs were as good as they could be.|NA
During team meetings, I lead discussions regarding communications and ways to make it better.|IDK
She methodically addressed each person on the research team to confirm that he or she was following through on job duties.|TC
During the first week of my internship, I had the opportunity to sit in on a meeting with the entire Marketing Department of BSE Global.|NA
"They usually meet their goals and if they don't, I work with them on how to achieve them next time. 
"|TC
During the intern meeting, I suggested that we should do a postcard campaign to try to increase student yield.|IDK
"Acted as an undergraduate teaching assistant to lead the classroom in discussion of new technologies in society, specifically in the health industry.
"|IDK
During the internship I was always eager to get those around me engaged in conversation.|TF
During the internship, we also have another event called hackathon, which is a one-day programming with a team to design a product or a prototype.|NA
In the meeting, the department supervisor would first summarize the accomplishments of the department during the previous month.|IDK
After the meeting, he also talks to someone individually, in order to get to know the people more deeply.|TF
During the same situation above, I was tasked as the leader for this group and had to make sure my team stayed motivated for the project.|TF
"In the end we had a final product that we were all proud of and I was able to present this work to meet the expectations of the senior employees at the OISP.
"|TC
During the semester I trained new interns on fundamental tasks around the office.|IDK
To keep the students involved, I had them do it themselves after being taught how the instruments worked.|IDK
"Seeing them throw out different ideas and discuss the pros and cons of each to determine which one would work best showed me that I had chosen an effective route to introduce them to the kind of research that is done in the facility.
"|NA
During the summer, I had the experience of teaching a group of food service workers in Anderson County nutrition basics while they were at a cooking camp.|NA
I brought the team together and determined who would be in charge of what improvements.|TC
"It was very effective and efficient and it allowed to be a leader and learn how to delegate. 
"|IDK
During training we encourage the new hires to ask questions and we open up a space for them to express any concern they have about anything.|TF
This caused use to be able to openly discuss the magazine as a whole, and let the writers have a say in the design, and the designers even have a say in how some of the articles were written.|TF
A few times it was my idea that was the solution|NA
"During WOW Jr. I had to encourage the students to form answers on the topics we discussed to ensure they were actively learning.
"|TF
Each member of the SAD team is in their respective position because their talents and passions are being capitalized on.|IDK
He would set a few workers in groups together and would write down the job to be done.|TC
"Each semester our mentor helps us each develop individual learning goals and uses each of these together alongside our individual strengths to make the pressroom operate more smoothly.
"|IDK
"Each semester we are required to lead our team meeting in discussion where we assign articles to read and give a presentation to the group.
"|TC
"When there was a project that was very photo heavy, I took the lead on it and worked with other departments (video, social media, writing) to produce the best possible content for the social media team. 
"|TF
Going into Senior Night and Military Appreciation Week, his theme was Band of Brothers and encouraging teamwork and encouragement throughout the team.|TF
"Before we went there, I made sure we got together to think of a game plan for how we wanted to handle the shoot. 
"|TF
"Every day our mentor would give us our tasks for the day, and she would base those tasks off of what was everyone's strengths. 
"|IDK
"In the end I believe we reached some actionable conclusions and presented them to the rest of the department. 
"|IDK
"It really helped us develop our communication between workers.
"|TF
or I detail my design project, and I ask for a second level of feedback.|TF
Every day i see these employees assign different interns to different tasks so that all the tasks are completed on time.|TC
We covered many topics such as test anxiety, time management, connecting to Clemson, and stress relief, to name a few.|NA
"As a leader, I had to empower students to be successful during their bridge year in order to reach their goal of bridging to Clemson next fall. 
"|TF
We would all propose ideas to improve the space and as a group we would decide if it would be a effective solution to our problem.|TF
"Every week when my mentor informed me what I was to work on during the week, I saw my mentor exhibiting these leadership skills. 
"|IDK
Everyone has their own strengths and weaknesses.|NA
I noticed the way work was distributed was based on where each of our strengths lied, with one being great with technical drawings and knowing the firm's standards, somebody else being strong with materials and attention to detail, and mine being able to make presentable work to appeal to clients.|IDK
Everyone in the lab group is working on the same projects, but we all work on different sub projects.|NA
Everyone of our workers has a certain strength that should be utilized to most efficiently perform our tasks.|TC
For a booklet design, I got other peoples' opinions on some visual graphs and had them choose which was easiest to understand.|IDK
For a project that had some problems, we had some people who worked at Prettl Germany who specialized in PCBs and Electric components to help guide us and share their knowledge and expertise with us.|TF
For most the time I was responsible for closing the WATT center IT department.|NA
For my internship, I used leadership skills when I helped lead a meeting between two full-time members and another intern to go over my project and the next steps looking at the requirements of the task and draw out an agreed upon solution.|TC
we needed to install a new ice maker.|NA
We were trying to determine the best location for this ice maker in one of the labs so that we could easily access the water and electrical lines.|NA
For part of my internship, I attended a meeting for planning the upcoming Clemson international festival.|NA
I led the group in coming up with ideas for items, but also information related flyers to hand out.|TF
This helped me to understand the problem they face regularly and think about how to overcome them.|IDK
"After we met, I compiled our ideas into an email and updated Dr. Thomas on our progress and shared our ideas with her. 
"|IDK
On a lot of my previous teams i have observed people hiding problems, this was much open.|TC
From the beginning when I first joined the team at Madren Center, the supervisors encourage all of us to look towards our goal for the end of the semester.|TF
"It was important to be knowledgeable about the machines in order to teach the, 
"|NA
Harold and I would discuss app features.|NA
"Having to host auditions for Vagina Monologues and empower the group to successfully learn parts
"|IDK
"Helping to guide other interns in an open forum with ideas for there own separate programing
"|TF
Each individual has their own unique ways of doing things that range from rotational grazing to administering vaccines.|NA
This specific producer has used research and scientific evidence to develop his intensive grazing management practices in an effort to cut down on internal parasite populations.|TC
He feeds virtually no hay to his cows, unlike many of the other producers.|NA
I added a section to each week's meetings where interns could discuss any problems or ideas they've had about the space.|TF
"This would allow us to share ideas and solutions to common problems.
"|TF
"If I am working on a task I am able to delegate responsibilities to others.
"|TC
She devotes herself on everything about billing.|NA
I am always observing Dr. Dobbins express leadership within his meetings.|IDK
"He keeps a calm meeting room to promote solutions within the group.
"|TF
I am currently in the process of training and communicating our goals as Inside Clemson to the new intern for next semester.|IDK
Most specifically, we had the task of creating a powerpoint slide, and wanted to bring all of our ideas together to make something we could be proud of.|TF
"Sharing that common goal helped us to be respectful of each other, and have a final product that incorporated elements contributed by both of us.
"|TF
However, as a manger, I work with many employees in our department for each event.|NA
"If I see a problem with one of my events or if I notice that there is confusion about something, I try to make sure that it is addressed and fixed for next time.
"|IDK
"I am the oldest of the interns and they all look to me to guide them when starting task and ask me to evaluate them upon completion.
"|TF
"In return, I gave my suggestions as to how wastage can be reduced.
"|IDK
"I asked my fellow peers for feedback during our decision making so that we could make decisions that represented their interests
"|TF
I was working with teams who are working on a variety of projects to address needs in Haiti.|NA
In order to help them progress, I would often help them align their narrow objectives such as writing a literature review to why they are doing it.|TC
I assisted in leading the Business in Paris program since I had been on the program and had been the one in the office with the most experience relevant to it.|IDK
I attended 2 meetings a month where I would meet with the whole instruction team about everything that was happening in Cooper Library.|NA
Everyone worked together to improve the service desk at Cooper Library and kept everyone updated on ideas and gave feedback.|TF
"Following this, I lead discussion on the ideas surrounding this proposal.
"|TF
To make sure everything was done every day, I had to step up and set a good example by rounding everyone up and getting them to do what was needed rather than slack off.|TC
"I can give clear instructions to other that tell you how to complete a specific task.
"|NA
I co-led the social media ambassador program where we had to facilitate a healthy discussion with the ambassadors about what we expected from them and what they wanted to learn from us.|TC
"So that we could have healthy two-way communication.
"|IDK
"Ideally, Tigers Unite also influences and supports global objectives of making Clemson Athletics, Clemson University, and beyond, better.
"|IDK
"Some of the people who had been slightly rude at the beginning of the call, quickly agreed to attend the event!
"|NA
I worked around each person's schedule and tried to place them at their desired role.|TF
I currently serve as the president of my sorority, Kappa Alpha Theta, in this role I am the main point of contact for the other 23 officer roles.|TC
I define leadership as an influence on the others around you.|IDK
I developed a spreadsheet which helped us to keep a track of the cost budget sheet.|NA
"That sheet was aacesible to all the employees on the job site and helped all the employees to spend accordingly.
"|TC
