"Labeled Data","Final Label","Dataset Name"
"When we solving an issue, different people have different solutions, we discuss the details of the solutions, value the pros and cons of each solution, and finally reach the most efficient way.
","STC","Student"
"When we sampled for flounder throughout the different waterways of Alabama, we often used nets to catch such fish.","NA","Student"
"When he left and we hired the new guy, the new guy relied on me to lead route.
","IDK","Student"
"When we ran route, I was generally in charge.","STC","Student"
"The path I encouraged was the one that led to them walking across the stage with diploma in hand at graduation. 
","STF","Student"
"When we have our intern meetings, our leaders divide up our work based on different intern strengths and weaknesses. 
","STC","Student"
"When we have HUB staff meetings, I assist my supervisor in faciliating conversation between all employees.
","NA","Student"
"When we had our internship meetings the interns specifically were tasked with developing an email campaign for the class of 2022.","NA","Student"
"When we experienced some issues with how money was being handled, I met with the Hub staff during a training session to help explain and practice the importance of handling money responsibly. 
","NA","Student"
"I reformatted the RFF form to distribute across our department to make it easier for everyone else to understand and utilize the new accounts.","NA","Student"
"To do this, we had to consider both what the work that needed to be done was and what our individual strengths and weaknesses were.to figure out who was best suited to do what.
","IDK","Student"
"The director and I were both able to share what we thought would be the best options and ideas, and then were able to incorporate or discuss those ideas into the final product of the website. 
","IDK","Student"
"After discussing this topic separately with the CEO.
","NA","Student"
"He also provided motivation to the interns and provided solutions to problems when there were times when we couldn't step up to the mark.
","TF","Student"
"When the Senior Scholars came to the lab I took the leadership role and tried to guide them on the best ways to do things rather than simply just telling them how it is.","TF","Student"
"and I created the survey to gauge the minority experience at Clemson.","NA","Student"
"When the other PEER","NA","Student"
"Peoples reflections were very thoughtful, and they allowed the group to develop a deep understanding of what they experienced in Haiti and CEDCs role as an organization working in Haiti. 
","NA","Student"
"I invited everyone to reflect on what about our role should change moving forward.","TF","Student"
"On the last night of discussion, I encouraged everyone to discuss CEDCs role in Haiti and the sustainability of our model.","STF","Student"
"Topics for discussion included impressions of Haiti, accomplishments each day, how we as Americans view Haitians from our own cultural perspective, and the difference between agency and advocacy.","NA","Student"
"When the Clemson students were in Haiti for Spring Break, I wrote discussion questions and led reflections every night.","NA","Student"
"This helped me understand that other ideas are often helpful and may lead to something you had not previously thought of.
","NA","Student"
"When setting up the FTW experiment, it was necessary to listen to other ideas and suggestions on what would work best to get the best results.","IDK","Student"
"When redesigning the website, I had to often set a vision and paint that picture to then have others understand my plan and idea.
","STF","Student"
"When preparing the low voltage battery part of the presentation for VDR, I was the leader who guided two of my teammates to prepare certain components of the presentation and I myself handled some other part of the presentation. 
","NA","Student"
"When planning New Senator Orientation I had to work to align the New Senators with the mission and vision of the faculty senate.","STC","Student"
"When people came in the space, I helped them operate and use materials available to us.
","IDK","Student"
"When our deadline was drawing near I had to push everyone to get their part of the job done so the business plan would be whole.
","TC","Student"
"For example, I created a system on the large white board in our office that allows people to sketch out their ideas in different sections and explain their ideas in a collaborative and open way.","NA","Student"
"I found this very helpful! 
","NA","Student"
"When my supervisor splits the different areas of the IAC reports into sections, he selects certain individuals for certain tasks.","TC","Student"
"I think this is vital in a community like the School of Public Health Research because it optimizes the outcomes of individual projects. 
","STC","Student"
"When meeting with my team every week, we often bounced ideas, projects and tasks off each other and encouraged discussion as well as disagreement to ensure we are all in agreement on things. 
","IDK","Student"
"When making updates to the departmental website, some professors met with me to discuss their concerns and ideas about the site.","NA","Student"
"When making over 20 step-stake signs for the International festival, morale was low so I motivated everyone to push through and get the work done.","TF","Student"
"I took leadership and created content","IDK","Student"
"I did research and collaborated with the other intern.","STF","Student"
"I mentioned this to my mentor and she gave me full responsibility to do whatever I wanted with it.","NA","Student"
"When I was mentally and physically ready in the interviewer, I felt like the leader, I was in control of the interview to get more information I needed to succeed in this intern.
","NA","Student"
"When it comes to leadership, I experienced that first hand with my interviewer just to get the intern.","NA","Student"
"When installing parts for a new car, there is a specific 'new model team' that works on the line to install new complex parts before they go into mass production, and when a part needs to be installed on the cube perfectly, my manager would call the new model team from the assembly line to ensure the part was placed properly, and to help troubleshoot potential problems they saw with installation before gaps and flushness were discussed. 
","NA","Student"
"Of course sharing that info with me is helpful as well because its all a learning experience for both of us. 
","NA","Student"
"I created work tickets in our work tracking system called Jira and we began to grab those and work on them, and then we could combine code together when we completed tickets and continue to constantly recheck if what we had, was building towards the end goal. 
","STC","Student"
"When I was working on the dislinked link health check tool with my fellow two interns, there is one end goal product that we wanted to produce in the end.","NA","Student"
"So everything was developed and setup was done after considering the position of shop floor people. 
","NA","Student"
"When I was changing layout of plant the supervisor asked me to take ideas and suggestions from the shop floor employees and see if it is flexible for them.","STF","Student"
"With the help of my supervisor and fellow interns we began the process of doing this for multiple clients and accounts, since it was so well received by the followers of the original account. 
","NA","Student"
"This was then mentioned to the client who loved the idea and I created what I had in mind.","NA","Student"
"had to propose an approach that seemed like it would work for me, but at the same time would lead to the same goal towards the end of the internship.
","IDK","Student"
"Unfortunately, her approach did not seem like it was going to work for me because of my background and I the way I learn new things.","NA","Student"
"When I started my internship, I was not familiar with traffic simulation calibration.","NA","Student"
"When I spoke to other students about my wall designs and how they would work and be put into practice.
","NA","Student"
"Since he hadn't been staring at the code I was writing for the past week he was immediately able to detect an error that was causing my shortcomings.","NA","Student"
"When I reached a roadblock in my project when testing one of the platforms I asked my mentor if he knew of anybody that had used the same platform and had success in using the methods that I was using.","NA","Student"
"Many companies are trying to change their benefit packages to include more aspects of mental and emotional health which is great to share with students and the relevance of our programs to the real world.
","NA","Student"
"We shared our opinions and improved our ideas by sharing our own ideas every time we would meet!
","NA","Student"
"When I had to train people on protocol
","STC","Student"
"Both of these have been completed after this semester and he was pleased to find out I made that happen.
","TC","Student"
"Through this, I helped several people get trained.","STC","Student"
"Sometime weeks will pass between training sessions and these guides prevent people from losing that knowledge between sessions.","NA","Student"
"When I am able to make it to meetings, I always try my best to direct conversation and ask questions that not only pertain to my work, but also my fellow interns. 
","STF","Student"
"By expressing my differing opinion with my boss and office director and having open dialogue the office actually decided to higher the Intern which I supported. 
","NA","Student"
"When hiring a new intern I had to sit through several interviews and give my honest opinion on the possible interns.","NA","Student"
"When grading some of the written assignments for the online food course, I made sure to encourage there thoughts while still prompting them to possibly think other ways and explore other ideas.
","STF","Student"
"This helped all interested parties to understand the role that the website might play for others in the organization and ultimately lead to a better design for the website. 
","NA","Student"
"When first designing the website for occupancy data, I encouraged discussion about the user interface and functionality of the website by asking questions about the end user and the uses to which collected occupancy data could be put.","TF","Student"
"I made sure that the new employees felt comfortable to speak up.
","STF","Student"
"-When editing the fitness and tour video, I offered some examples of different techniques we could use for transitions between the clips.","NA","Student"
"When doing the recent tissue processing from the meat farms for various samples, I had to explain the process to a few other coworkers and give them a rundown of the tools and methods used.","STC","Student"
"when discussing my new line cutter development with one of the interns when we were problem solving how in incorporate different parts for the product
","NA","Student"
"When developing protocols and establishing our methods for the Chatooga Bell project, Dr. Hagan encouraged us to brainstorm and research other papers in order to further our own understanding of the project.","STF","Student"
"The EUREKA!","NA","Student"
"I was responsible for translating surveys into Spanish in order to better communicate with parents of the hispanic/latino community.","STC","Student"
"When delegating tasks, my Supervisor usually used to capitalize on my experience with design and ask to design new solutions , do some analysis on them such that I could incorporate my previous experience for the same.
","TC","Student"
"When dealing with new data we began collecting, the issue of how to aggregate, store, and analyze this data arose.","NA","Student"
"We used this as an opportunity to brainstorm and create more logo options. 
","NA","Student"
"When creating TigerLink logos, I worked with other interns to create a variety of different logo options.","NA","Student"
"When creating the Social Justice: LLC I ensured that the program would model current successful programs at peer institutions as well as purpose ensured a positive outcome for students participating.
","NA","Student"
"When creating our marketing plan, everyone would share their own ideas which would typically be based around whatever they were interested in personally.","NA","Student"
"My supervisor made sure everyone knew our goals and had up to date information. 
","IDK","Student"
"When creating an informational brochure, we needed to work with many other people from other partner organizations in order to crate something that would work for everyone.","NA","Student"
"When creating a video and video script for a virtual tour of Fike, I used the strengths and talents of others to help create the end project.","IDK","Student"
"When counseling at a leadership camp, you have to exhibit those qualities.
","NA","Student"
"That being said, I take the initiative to guide the client and give insight to the event planning process.","IDK","Student"
"When colleagues were attempting to get specific data on the Accepted but not Enrolled project, they had to work with two other separate parties (Equifax and Clearing House) in order to ensure that data was viable, relevant, and encrypted so that it could be as accurate and secure as possible. 
","STC","Student"
"When brainstorming ideas for video content, we often had different ideas.","NA","Student"
"When asking for feedback on Park-N-Ride, I created multiple surveys (both online and in-person) to distribute regarding people's satisfaction with the program.","NA","Student"
"When all of the new interns were coming in I helped a lot of them get used to the systems that we use in the buildings, and I showed them how to deal with teachers that were having technical issues.
","NA","Student"
"I would listen to their points of view and then together we would look and find programs that fit into their schedule and curriculum","STF","Student"
"When advising engineering students, many think that engineers cannot study abroad because of the difficult course load.","NA","Student"
"Although he was initially hesitant in taking over some of the responsibilities, both from inexperience and not wanting to take tasks from other people, I showed him that everything was well within his abilities","STF","Student"
"When a new team member joined us to part of his job was to help me and take over part of the responsibilities.","NA","Student"
"It was interesting to be able to listen to the entrepreneur when they gave advice and sort of walked all of the interns through how they started their own businesses. 
","NA","Student"
"We would often have different entrepreneurs from the area come to the office.","NA","Student"
"We worked on a big student profiler project where I was able to edit and organize profiles of students who have received scholarships from Clemson donors.","NA","Student"
"We were working on a design for a graphic we were sending out and we got stuck on the way it was looking so I suggested we start throwing out ideas until we found one we liked, which we eventually did.
","NA","Student"
"I also created a task list of when specific things were due to help complete things as efficiently as possible and to remove as much stress as possible.
","TC","Student"
"I streamlined the jobs in accordance with the management requirement and channeled the work.","IDK","Student"
"We went to a local school and were helping explain water issues to the Robotics club.","NA","Student"
"Whenever I had the chance, I used to involve the people who had found the defects in the first place and then continue to produce my suggestions.","STF","Student"
"We sometimes do hacking challenges at work, and so the interns work as a team to figure out how to steal information from a computer made to be hacked.
","NA","Student"
"so we had several meetings about what people wanted from our accounts and the process for requesting things to be put up.
","NA","Student"
"Through this process I was able to serve as a role model for the kids and act as a source of knowledge to satisfy all of their curiosities.
","TF","Student"
"We ran a couple camps for 4H youth around the county and was tasked with not only teaching but inspiring kids to learn more about being proactive members of society through caring for their environment and being aware of the resources they use.","TF","Student"
"This was one of our main goals as we wanted our members to be able to reach us through multiple platforms.","STC","Student"
"We ran a competition to get more likes to our Facebook page.","NA","Student"
"We problem solving we would debate on how to get the job done in the best way possible.","IDK","Student"
"We also take that time to reflect on what could have been done better or what we would do differently given the opportunity. 
","NA","Student"
"We often work as a team to increase each other skills, since we all do things a little differently than everyone else does.","NA","Student"
"I then asked questions of my own to try and encourage their own understanding of the material.","TF","Student"
"I poured over the sample data that we would be discussing and evaluated it from each of their perspectives based on how each individual labeled the sample.","NA","Student"
"We planned to discuss the different ways that we perform narrative analysis at one of these meetings.","NA","Student"
"She capitalized on everyone's strengths such as her relationship with the Dean, Rachel's ability to schedule and her relationship with the people at the venue, Doug's relationship with donors and people person abilities, and the event was rescheduled with an invitation sent out the very next day.
","IDK","Student"
"We had to reschedule an event last minute.","NA","Student"
"We have team meetings every few weeks in my department.","NA","Student"
"My manager can always give helpful suggestions when we have blocks and capture different views during discussion.","STF","Student"
"We have stand ups twice a week in which we can share results, progress, or blocks.","NA","Student"
"None of the other employees are very familiar with the machine.","NA","Student"
"We have one employee, Richard, who is highly efficient with the Hardinge CNC lathe.","NA","Student"
"After the meeting, he also talk to someone individually, in order to get to know the people more deeply.","TF","Student"
"The supervisor knows how to encourage people when he is summarizing the accomplishments of the department.","IDK","Student"
"Then, he encouraged people to comment on the department or other employee one by one, in a very friendly atmosphere.","TF","Student"
"and it was fun. 
","NA","Student"
"We all get together and talk about our different ideas for the contests.
","NA","Student"
"We have an internal weekly meeting to discuss the progress of individual departments in the company.","NA","Student"
"so my boss","NA","Student"
"We have an impact project that every student intern has to participate in to better the team as a whole.","STF","Student"
"Therefore we can all relate to each others projects and give feedback to each other, however we were all leaders for our specific fields.
","NA","Student"
"We have a total of ten interns/grad students, plus a large faculty at Baruch everyone has been given the chance to become their own leader.","NA","Student"
"Each student in the group will recognize what they can do to help, whether its in dealing with equipment or in the production aspect.
","NA","Student"
"We have a lot of groups come in to use both the video and audio studios, and if they have questions, they will come to the interns.","NA","Student"
"We had weekly meetings where different team members would present new findings and discussed problems.
","NA","Student"
"It was a great exercise as it helped us to understand things from multiple perspectives.","NA","Student"
"So, during those meetings, I would often ask other subsystem members to provide feedback on our work.","IDK","Student"
"( The information is kinda vague because I don't know if I am allowed to name anything.)
","NA","Student"
"This allowed me to assume a leadership role in the group. 
","NA","Student"
"We had social media meetings every Monday morning at 10 am throughout the semester.","NA","Student"
"We had several meetings to discuss what is the next step for the ReadingRecovery website.","IDK","Student"
"I tried to bring in a new perspective to the conversation by talking about the idea logistically.","STF","Student"
"They knew exactly how to talk to us to help us improve.
","NA","Student"
"I came up with an innovative plan where I not only reduced the headcount of the forklifts moving around but also provided them with the exact quantity of the parts to be supplied at the workstations every hour thus streamlining the production schedule in an even better way.
","STC","Student"
"All the people from the logistics and the warehouse came up with ideas that were beneficial in discussions and meeting.","NA","Student"
"We had a meeting to discuss fixing up the UPIC page and we all had different ideas on what to do
","NA","Student"
"I really appreciate his thoughtful consideration.
","NA","Student"
"Once, I helped another team for just one day to make a concept model.","NA","Student"
"Also, my supervisor always remembers other's achievement and enthusiasm.","TF","Student"
"Whenever we had different opinions, my supervisor would always ask someone in the team and ask about their thoughts, for example, Alex, you are probably the one with the most knowledge in codes, do you think it's viable that we can have two loading docks here?","IDK","Student"
"We had a lot of team meetings and discussion so everyone could check-in and be on the same page of the project.","NA","Student"
"We had a discussion regarding the allotment of storage systems when a part is eligible to be put in both Automated storage and retrieval system and Dematic multi shuttle.","NA","Student"
"We had a company meeting where the CEO has shared his vision with all the employees and motivated on how to reach the targets. 
","STF","Student"
"Many points were given on our side and on his side and with one in particular we spoke on the lack of collaboration from the emergency operations manager in Laurens.","NA","Student"
"Something other than a recap video and something interactive. 
","NA","Student"
"We do a lot of work for and with the social media interns.","NA","Student"
"One of the things I had envisioned for the project was complete organization.","IDK","Student"
"My co-lead and I would present ideas and but also empower all the other interns to share their thoughts and give honest feedback to the group as a whole and us as leaders. 
","TF","Student"
"We consistently held meetings with all the interns in University Relations to ensure that all viewpoints were shared in an open forum.","STF","Student"
"We are on the process of implementing the new warranty systems analysis software.","STF","Student"
"The stakeholders are the employees, and I have to determine how to clearly communicate the progress to them. 
","NA","Student"
"We are in the process of establishing a satellite office at the CU ICAR campus, and I've been tasked with drafting the new policies surrounding satellite office work/employee expectations and presenting the project process timeline to the Associate VP.","NA","Student"
"We are assigned tasks in audits based on what we are good at and occasionally push us into when we could do more
","STC","Student"
"Each Individuals skills are well identified by the supervisor and are properly guided towards fulfilling individual responsibilities.
","IDK","Student"
"we are a team of software engineer's, physicists, mechanical engineers and computer scientists working together towards a common goal of developing advanced robotic radiosurgery solutions.","NA","Student"
"We analyzed the results from different people and did a open discussion on these results.","NA","Student"
"We all worked together to help B with the big ideas series and help Sierra with the three day startup.
","NA","Student"
"We all take initiative to listen to patron's problems, especially the ones we don't know how to solve, so we can learn more. 
","IDK","Student"
"We adopted a new project management tool this semester, BaseCamp, I served as the initial tester of the tool and encouraged other interns to fully embrace it to report on projects.","TF","Student"
"She wants us all to succeed, however she does do the work for us.","TF","Student"
"Was able to provide useful input on the development of the research year in review document, and also was able to make good progress on potential publication 
","NA","Student"
"Also, every one of them had a different perspective on the dashboards.","NA","Student"
"Very similar to what I described above in the first meeting I had with a Risk Area, we met with that same Risk Area, but this time, the major of the Risk Owners were present at the meeting.","NA","Student"
"Very early in our office, I notice our graphic design intern, who had worked for Tigers Squared previously, take initiative in helping people acsess different accounts and help them get familiar with things around the office.
","TF","Student"
"urged the other interns to get work done in a timely manner
","STC","Student"
"His leadership coupled with our groups hard work led to completion of the task in a timely and effective manner. 
","TC","Student"
"After one of the interns presentations, myself and another intern were able to ask Connor about his business process so that we would be able to help in to improve. 
","IDK","Student"
"This is a great way to have informative discussions and really just be able to learn and push everyone else.","IDK","Student"
"I developed a document and a post event survey for our mentor so that we could go over what worked and what could be improved on for the next year. 
","NA","Student"
"Likewise, during the fall, our entire group worked as a team to effectively carry out this competition.","NA","Student"
"Upon conclusion of our annual microscopy competition, we had a discussion of what we did and did not like.","NA","Student"
"Attendance must be taken from behind (no view of Senator's nametags), guest must be identified and prepared for announcements at the beginning of the session, refreshments must be set-up, name cards distributed.","NA","Student"
"It was interesting to see the way that he manages his team of Decipher writers and handles their needs as well as mine.","STF","Student"
"Trey told me to do some peach splitting with these girls and so I guess he lead us to a goal.
","STC","Student"
"This was finally presented to stakeholders as a viable platform for developing the vehicle.
","NA","Student"
"this led to a shared vision of how the autonomous capabilities would be developed.","TF","Student"
"the team's goal was to have a shared platform for simulating our autonomous vehicle and integrate control with other subsystems.","NA","Student"
"Towards the end of our Internship.","NA","Student"
"I am very detailed and thorough, so I was able to help organize who's stuff went where.","NA","Student"
"This helped free them up so that they could aid our customers and we could continue to have impeccable customer service.","NA","Student"
"Because the other members of my team had time sensitive work, I took it upon myself to help them organize files, belongings, and any other work","STF","Student"
"The key to this was that everything had to be labeled and organized so that we could move in immediately after to resume operations, as we had guests coming to stay with us that weekend.","NA","Student"
"Towards the end of my internship, our office was getting new carpet.","NA","Student"
"With that said, after we installed the system I was fortunate to be able to visit project leaders at Erskin.","NA","Student"
"This lead to faster solutions in an organized manner
","NA","Student"
"Today the main director took the decision to organize the office In two sub-offices: I noticed that he organized the two groups giving to each one person with the experience in documents and boards, one for design and renders, and a supervisor.","IDK","Student"
"To help me further understand why we were performing a test and what the data represents, my supervisor had the grad students who were studying in that area explain to me the reasoning.","NA","Student"
"To better understand our strengths, my supervisor gave us the same technical task and gave us as much time as we needed to do what we deemed an acceptable job.","STF","Student"
"Throughout this semester I have been working with the IAC to coordinate energy audits and get companies on our page with saving money, and energy. 
","NA","Student"
"I showed respect to everyone in my office and the students that we interacted with on campus.","NA","Student"
"Throughout this internship at Healthy Campus, I constantly maintained positive relationships with all members of staff.","NA","Student"
"My supervisor, Allie, did a terrific job of explaining her visions for the event and leading us to ensure that the event ran smoothly. 
","TF","Student"
"My advisor, myself, the other intern for my advisor, and few other people involved in the College of Business organized and set up everything prior to the event.","NA","Student"
