"Labeled Data","Final Label","Dataset Name"
"As an intern at Clemson CAPS, I assist the broader organizational goals of the entire organization by promoting mental health awareness, and using my unique position as both Clemson student, and CAPS employee to promote the services we provide and assist in executing the long term goals of the organization.","TC","Student"
"As an intern, it was difficult to find leadership opportunities.","NA","Student"
"As an intern, you are not frequently in a leadership position.","NA","Mentor"
"As being a seasoned intern with the Senate, the new interns often come to me with questions or asking for advice with their tasks. 
","STF","Student"
"As chairman of social media, the goal for my team was to increase awareness on how to maintain a healthy social media lifestyle.","STC","Student"
"As chief editor it has been Stone's responsibility to lead group meetings, manage the teams' writing schedule and assign articles but he taken a backseat to other personalities in the group and relied on me for these.
","NA","Mentor"
"As Harshit progresses in his career, Leadership and team-building will be required to grow other team members and accelerate his personal growth.","NA","Mentor"
"As I am working in a small company, we have a very interactive and friendly atmosphere.","NA","Student"
"As I briefly explained before, one of my more significant projects was to implement an embassy-wide security accountability system.","NA","Student"
"As maintenance lead this semester, I lead the task in fixing all the equipment in the Makerspace.","NA","Student"
"As mentioned above with regards to groups coming down for trips, myself as an intern was in charge of two specific groups that dealt with WASH education and the Center of Excellence group.","NA","Student"
"As mentioned above, Abele has not been in a position of leadership or managing a team.","NA","Mentor"
"As mentioned above, I lead a project at my work place called Power BI dashboard creation which requires a joint effort from many engineers.","NA","Student"
"As mentioned in the Communication and Collaboration competencies, I had to work with a diverse team of individuals (from Quality directors to line operators) to improve the IQC process.","STC","Student"
"As mentioned in the responsibilities , I was leading the Conversion projects that involved conversion of all dashboards developed in SAP into something visually attractive and user friendly using Microsoft Power BI.","NA","Student"
"As mentioned, my work in leadership related with the intern project allowed me to work forward facing with many other individuals and help them coordinate efforts to ensure we had a great presentation.
","IDK","Student"
"As part of my internship, I need to make a presentation to discuss my work with other experts in the company that I am intern in it.","NA","Student"
"As part of observing the group therapy of Yoga for Wellness, I was able to participate in the group dynamic.","NA","Student"
"As part of the sustainability cross-cutting team, I held several meetings from time to time to help realize system-level objectives in our team. 
","STC","Student"
"As PhD student, I work on the project with different researchers and published papers as first author in top-level conference.","NA","Student"
"As president of the study abroad interns for my fourth and final semester, I definitely demonstrated leadership more than at any other point during my last three semesters.","NA","Student"
"As previously mentioned Alton has shown great leadership within the Makerspace.","NA","Mentor"
"As previously mentioned, I became a bit of a poster child for Give Day.","IDK","Student"
"As previously mentioned, I worked with both the creative and project management teams.","NA","Student"
"As she grows and matures, her skill in this area will undoubtedly increase because of how she carries herself and willingness to learn.
","NA","Mentor"
"As team lead, it is important to recognize and capitalize on the unique strengths of team members in order to maximize effectiveness.","TF","Student"
"As the Interiors lead, I along with my team made milestones to adhere to the goal of the team objectives and align our decisions with the global objectives
","TC","Student"
"As the leader of the Department of English newsletter I had to encourage my team each month to meet deadlines, reach out to interviewees, and continue their communication with me. 
","TC","Student"
"As with Erin, Sam did not demonstrate any lacking in leadership, but it is probably just the least demonstrated within the role (which is probably my own fault in designing the internship).
","NA","Mentor"
"Ashleigh could work on her leadership skills.","NA","Mentor"
"Ashley is a very good leader, but there are times when others are not willing to do something.","NA","Mentor"
"At Campus Banner and Design, both design and printing are crucial to the success of the business.","NA","Student"
"At each SEA meeting I encouraged students to bring forward their ideas, and promoted inclusive and innovative ideas.
","TF","Student"
"At his age, this is not a bad thing.","NA","Mentor"
"at mentor group meetings, I ask for the opinion of others. 
","IDK","Student"
"At of our first meeting of the semester we had to establish some new goals and determine what we wanted to focus on.","NA","Student"
"At one point in time I had to make a decision as to whether to leave the worksite the way it was or work to fix it, and I chose to persuade my fellow intern to stay with me and help clean the site, despite it not being our direct responsibility at the time.
","TF","Student"
"At Tesla we do this every single day.","NA","Student"
"At the beginning of the internship with Healthy Campus, I completed CPE or Certified Peer Educator training.","NA","Student"
"At the beginning of the project, our site mentor was called away to deal with other important projects he's maintaining across the world.","NA","Student"
"At the beginning of the semester, our mentors would tend to put the new interns on easier tasks such as lighting in order to get us acclimated to the job while the graduate students worked on harder tasks.","STC","Student"
"At the beginning of the semester, our office gathered for a Think Tank meeting where our goal was to brainstorm as many areas and ideas for improvement as we possibly could.","IDK","Student"
"At the beginning of the summer, I created a large gannt chart to show all the projects that various advisors wanted us to complete and broke everything down into small manageable goals that were spaced out over the summer.","TC","Student"
"At the end of the semester, me and my coworker were asked to design coloring pages for all of the Tiger Media organizations.","NA","Student"
"At the farm, this is a heavy requirement.","NA","Student"
"At the start of the semester I added on to our previously-established weekly meetings with our advisor in the CCIT Visualization Lab with a separate session afterwards for Immersive Space interns only.","NA","Student"
"At this stage of the internship, Leadership would be a difficult competency to demonstrate but needs to be an area of focus as Alvin progresses in his career.
","NA","Mentor"
"At various points throughout the internship, I was in charge of parts of our project where I had to lead development and present our progress to our department.
","TC","Student"
"Audra, has shown great leadership in the general operation of the makerspace, however has not been given the opportunity to take a leadership role within the internship team.","NA","Mentor"
"Bailey brings a level a poise to the work she does that very few othere in her peer group could acheive.","NA","Mentor"
"Bailey is a growing leader, but still has ways to grow in her confidence and ability to step up and step out in taking on leadership roles.
","NA","Mentor"
"Bailey worked one part-time internship and her goals were to learn job skills needed to perform her job tasks.","NA","Mentor"
"BECAUSE I DIDN'T ALLOW FOR ANY EXPOSURE FOR CHINMAY.","NA","Mentor"
"Because of my role as a manager, I set the example for my coworkers and staff members.","TF","Student"
"Because of not being an engineering major, Isabelle holds back some from taking a frontal role in our STEM programs.","NA","Mentor"
"Because of not having the engineering background, Hannah was somewhat hesitant to take the lead with our STEM programs.","NA","Mentor"
"Becca is a great team player, but does not always step up and take the leadership role in areas where we know that she would excel.
","NA","Mentor"
"Being a seasoned intern for the Faculty Senate, I did my best to help guide the new interns 
","STF","Student"
"Being a Summer Scholars intern this semester was very beneficial to me, and I was able to learn a lot from my mentor and fellow intern.","NA","Student"
"Being around Coach Swinney lead his players and staff has been an invaluable experience.","NA","Student"
"Being certified to work in the lab, I was able to help perform all of the testing for our senior design project.","NA","Student"
"Being in charge of the graphics team, there were many instances where I was able to direct and lead members to achieve a vision I had if the task was delegated to them.","IDK","Student"
"Being put in charge of the Clemson Light Imaging Facility gave me a basic understanding of Leadership, this allowed me to understand the requirements and needs to be in charge of a task and a project.
","TC","Student"
"Being the intern that has been here the longest, I often am face with questions from other interns on how processes go, what they should do, where they need to be, and so on.","NA","Student"
"Being the newest member of the team, I did not expect this competency.","NA","Mentor"
"Ben's greatest area for improvement is in the category of leadership.","NA","Mentor"
"Bethany was not able to be in a position of leadership, so it was difficult to evaluate this characteristic.","NA","Mentor"
"Between myself, my mentor, and the other photographer,we have three different backgrounds.","NA","Student"
"Blaine exceeds all expectations in these fields.","NA","Mentor"
"Blaine, has been with me for two years.","NA","Mentor"
"Both Basic and Intermediate, I observed my mentor giving advice and gratitude toward the other employee in charge of the graphic communications and I often had an input on the graphic as well. 
","TF","Student"
"Bradley has already a very comprehensive set of advanced skills.","NA","Mentor"
"Brendan's role did not require leadership to be successful, but in the future Brendan could improve and be a leader to leverage others strengths to achieve a common goal.
","IDK","Mentor"
"Bri is definitely able to identify others strengths and challenges, but she sometimes lacks the confidence to act on her instincts in helping others improve or encouraging them to tap into their strengths for future use.
","TF","Mentor"
"Brianna is young and does not have a lot of experience.","NA","Mentor"
"Buddy (David) and I have noted phenomenon in our BSF vermicompost bins that led to the idea of starting an experimental design.","NA","Student"
"By nature, LeeAnna is more quiet and reserved.","NA","Mentor"
"By no means a weakness, Madison has been a good leader in helping the new interns learn the ropes.","NA","Mentor"
"By preparing and planning our parking utilization study, I set up my fellow interns for success, ensuring that they could use the data collection sheets with ease and not have to worry about errors.","NA","Student"
"Caleb has all of the skills to be a great leader but he doubts himself, in addition he needs to understand strategy, empathy for others, and how to use his thoughts to influence others.
","TF","Mentor"
"Cannot evaluate his leadership skills.","NA","Mentor"
"Carl did amazing during his internship and has a lot of leadership potential.","NA","Mentor"
"Caroline lead the team that produces the English department newsletter.","NA","Mentor"
"Catherine is always accepting of projects or tasks when asked, but I think she has room in grow in taking ownership of projects - identifying the next steps herself, noticing problems or issues, improving upon them, and bringing others into the project.
","IDK","Mentor"
"Chandra was a critical resource on many of our projects, but he wasn't asked to lead projects.","NA","Mentor"
"Chandra's leadership and communication skills have grown during his many months here, but there is still room for improvement.","NA","Mentor"
"Chanty is a great leader, but could continue to grow in her leadership skills as she finishes her senior year and approaches graduation.","NA","Mentor"
"Chase does put a good foot forward, he is a driver and make things happen.
","NA","Mentor"
"Cheng did lead his project, and has led others in its completion, so I wouldn't want him to think this is a weakness.","NA","Mentor"
"Chip, doesn't always make decisions, sometimes he defers to Owen, when he should make the decision himself.
","NA","Mentor"
"Common goal being to develop better predictive models, I gathered students and discussed what other projects we could work on to sharpen our skills as a data scientist.
","STF","Student"
"Communicated outcomes from TOD meetings with correct stakeholders, to make sure everything goes smoothly.
","NA","Student"
"Connor works very well on his own and with others, but did not take charge when given the opportunity.","NA","Mentor"
"Considering my relationship with the student athlete body, my supervisor had me learn a needs based approach when it came to sending out weekly wellness messages.","STC","Student"
"Daily, I questioned my fellow coworkers at our meeting to share what projects they were working on and asked how I could assist.","TF","Student"
"Dalvin is pretty quiet, but I feel he could be a fantastic leader given the right opportunity.","NA","Mentor"
"Danielle didn't have many opportunities to demonstrate her leadership skills while she was with us; however, I believe she would have great skill and confidence in anything that she attempted, so continuing to develop her leadership skills when given the opportunity would be to her benefit.
","NA","Mentor"
"David, my mentor, had numerous meetings with other employees in the Career Center to discuss projects or tasks, each of the employees being from different backgrounds.","STC","Student"
"Dede is the Director of Administrative Services here at Redfern, so by working under her","NA","Student"
"Delaney doesn't see herself as a leader, but I put her into a leadership position of sorts partway through the semester, and she took the reins and ran with it.","NA","Mentor"
"Delaney has been tasked to complete one big project before her internship has finished and was recommended to seek out advise and insight from people in other areas of the business.","NA","Mentor"
"Dr. Konkel has multiple undergraduate students, and each with a specific set of knowledge and skills.","NA","Student"
"Dr. Meehan is able to utilize all of the UPIC interns to create a functioning unit that helps make the nursing 1400 course work smoothly.","STC","Student"
"Dr. Parker and I worked with CCIT to build the website into a source for information and interest for future party stop visit, a project I spearheaded. 
","STC","Student"
"Dr. Sanabria leads a lab with many components including experimental design, wet lab experiment, FRET experiment, data processing and analysis, and computational modeling.","NA","Student"
"Dr. Ullmer was extremely proficient at capitalizing on the unique strengths of the team when approaching a new problem.","IDK","Student"
"During a capture the flag challenge, where you have to complete a set of hacking challenges, I encouraged my team to find different ways to solve the problems presented.
","STF","Student"
"During a meeting with other staff members, I noticed Kelly leading the meeting with extreme confidence and grace. 
","IDK","Student"
"During employee reviews, one of the managers overtook the large job of compiling all the review notebooks.","NA","Student"
"During many meetings, I was very open to hearing different perspectives and compromising to reach a common goal.
","TF","Student"
"During meetings to discuss progress on my project, I collaborate with my mentor and give her different ideas and perspectives as to how to move forward with what technologies and capabilities","STF","Student"
"During meetings with the social team, we could come up with ideas and change them and give each other feedback on which direction is better to go.
","STF","Student"
"During my group meetings, I would encourage a discussion between my mentees and I by asking them about their experiences with that topic of the week in order to help those who were less experienced learn. 
","STF","Student"
"During my internship period, my supervisor has assigned specific and different tasks to different members of our team.","STC","Student"
"During my internship we would do weekly intern meetings where we could discuss what we were doing in our particular roles, during one of those meetings we were asked to explain to another intern what projects we were working on and why they were important.","NA","Student"
"During my internship, I collaborated with the other interns and my supervisor to plan the Class of '39 award.","NA","Student"
"During my internship, I noticed that one of my bosses continually outsourced and looked to find the best person to aid him in his projects, even if they did not work directly under him.","IDK","Student"
"During my internship, I observed how one of the supervisors deals with new employees from different backgrounds including myself.","NA","Student"
"During my internship, I realized that there wasn't a space for presenters who co-presented a workshop to give feedback on how their partner presented.","NA","Student"
"During my internship, I was able to bring up the idea of whether or not it was important for young entrepreneurs to have corporate experience.","NA","Student"
"During my internship, I worked in the driving simulator laboratory.","NA","Student"
"During my intership, I had the opportunity to work with a few other interns.","NA","Student"
"During my meetings with other interns and Communication Directors in other departments, I had to facilitate discussion to achieve a common goal.","STC","Student"
"During my program, I suggested to top-level management on how to improve Disney's luggage transfer process that helped increase efficiency and ease for the guests electing to use the complimentary program.
","STC","Student"
"During my time as the wellness intern, I have been able to empower the students to achieve their vision of becoming overall 'well' while here at Clemson.","TF","Student"
"During my time at Azalea Capital, we acquired a company after many months of work.","NA","Student"
"During my time in the Abroad Office, we have people change positions, leave the office for a new job, go on maternity leave, and we have had new employees begin working.","NA","Student"
"During my time in the accelerator, I worked alongside other UPIC interns and while discussing a recent problem, I lead the group in coming to a conclusion for how to fix it and also how to make sure everyone's option was represented. 
","IDK","Student"
"During one of my projects here that was about work sampling and had to have a very clear project timeline and scope.","NA","Student"
"During one of our first group meetings our topic was how to study.","NA","Student"
"During one of our intern meetings, our supervisors told us that we were about one hundred students short of making the quota that had been set for students going abroad this summer, based off of last year's reports.","STC","Student"
"During one of our weekly fraud training meetings, the fraud prevention manager encouraged all the employees to continue to work hard to prevent passport fraud. 
","STF","Student"
"During one project for my internship, I organized the collection of 1,000s of student's work into a portfolio for presentation.","NA","Student"
"During our hackathon project, since the project demanded expertise in frontend development( my current scope in the internship ), I could help complete the project in a week by expressing my views.
","STF","Student"
"During our semester long project, the interns each had a different background and mindset in going about working on the presentation.","NA","Student"
"During our weekly meetings, I always asked the operators to present their views on the previous week's performance reports so that the supervisors could understand the actions needed.","STC","Student"
"During STEM day, a day that showcased PEER/WISE and its offerings to middle school students I felt that I was able to serve as a leader.","NA","Student"
"During team projects and around the work place, there is always a constant discussion to share points of view on issues and tasks.","IDK","Student"
"During the AFP National Philanthropy Day 2017 I felt a sense of leadership as I was in charge of paying attention to the Run of Show script and advancing the slides as well as helping Bethany set up the audio, video and monitors at the actual event.","NA","Student"
"During the C34, my coworker Carolyn really stepped up and took charge when others in the group may have let their work slide, and we ended up with a really positive outcome for the group as a whole, which everyone attributed to her excellent leadership. ","TC","Student"
"During the course of my internship, I conducted a Root Cause Analysis of a machining equipment.","NA","Student"
"During the design of braking system, I frequently started discussions with my subsystem team to factor in their experience and ideas. 
","STF","Student"
"During the intern meeting, I suggested that we should do a postcard campaign to try to increase student yield.","STF","Student"
"During the internship I was always eager to get those around me engaged in conversation.","NA","Student"
"During the internship I was helping out with the CI class, the students had to develop a final product for the end of the semester.","NA","Student"
"During the internship, we had monthly department meeting chaired by our department manager.","NA","Student"
"During the regional staff meeting that I attended, my supervisor created a group in order to help us access schools that need extra professional development training.","NA","Student"
"During these two weeks, my mentor is out for vacation, so I'm in charge of the entire Mail UX research.","STC","Student"
"During this internship, I pushed some of the 4-H'ers that were working with my mentor as well this summer as 4-H interns.","IDK","Student"
"During this internship, the group of students that I work with all have the same goal and vision of becoming more connected with their 8 dimensions of wellness.","TF","Student"
"During this next semester, it will be rewarding to see Allie's improvements in this area.","NA","Mentor"
"During this semester we identified that Chip would be the best person to lead the Makerspace in the Fall, based, on part, to his leadership skills
","NA","Mentor"
"During weekly lab meetings, my lab mates and Dr. Alper would sit with me and we would bounce ideas, problems, and solutions, off of one another so that we could see the problems from all angles.","NA","Student"
"During weekly meetings with the Transfer Agency, I was delegated the responsibility of recording the minutes.","STC","Student"
"Each morning, my supervisor would write out a task for each worker on a white board.","TC","Student"
"Each time we meet for our social media meeting, we are able to have face-to-face discussion on how to execute our upcoming content.","NA","Student"
"Each week I attended a meeting with the social media team where we planned the social media postings for the upcoming week(s).","NA","Student"
"Earlier this semester, I decided to rework how i organized photos on my computer.","NA","Student"
"Earlier, in the semester, a guest speaker came to Clemson and two of my fellow interns and I had to produce two highlight videos about it for the Clemson social media channels.","NA","Student"
"Emma shows tremendous initiative and maturity in developing, communication and bringing to fruition her vision for Clemson's Sustainability initiatives.","IDK","Mentor"
"Emmaline has had to work with many different stakeholders, including students, faculty, staff and external organizations, and she has been able to achieve her vision in doing so.
","STF","Mentor"
"Eric was great at working independently and along with others to achieve project goals and has the capability to be a great leader.","NA","Mentor"
"Eva didn't have many opportunities to lead others while in her position.","NA","Mentor"
"Even though I consider Ian a great leader he introverts very quickly which isolates his work function, with he knowledge drive and charisma he will be a great leader.
","IDK","Mentor"
"Even though Reilley is an excellent Cast member, she needs to learn how to lead and push her peers to do better and improve their performance.
","STC","Mentor"
"Even though she will be studying abroad in the spring and wont be interning for the Watt Center, I would still love to keep up with Carolines growth in her leadership skills.","NA","Mentor"
"Even though she wont be interning for the Watt Center this fall, I would still love to keep up with Hannahs growth in her leadership skills.","NA","Mentor"
"Every time I complete a design project, I send it to multiple people on the team and ask them if they have any thoughts on how it could be improved.","NA","Student"
"Every week for my internship, we met as a team and talked about our different projects.","NA","Student"
"Every week my fellow interns and I would host Be Brilliant workshops.","NA","Student"
"Every week, all of the members of the lab would gather for a lab meeting in which the lab members would share the data they had gathered and ask each other for advice and share information.","NA","Student"
"Everyone have our own personality and its good to understand the variety, but proactivity and leadership are areas that must be improved everyday, no matters what type of personality you have.","NA","Mentor"
"Everyone in the lab group is working on the same projects, but we all work on different sub projects.","NA","Student"
"For my internship, I used leadership skills when I helped lead a meeting between two full-time members and another intern to go over my project and the next steps looking at the requirements of the task and draw out an agreed upon solution.","NA","Student"
"For the Lever Hall of Fame, all the other interns and staff met to discuss roles and what had to be done.","NA","Student"
"For the Rhondda Thomas project, I gathered my team members together to discuss ideas surrounding the Book of Names and the spring event.","NA","Student"
"From the beginning when I first joined the team at Madren Center, the supervisors encourage all of us to look towards our goal for the end of the semester.","STF","Student"
"Great intern and a great person to work with.","NA","Mentor"
"Great on operating about everything especially heavy equipment, and watching behind it to make sure its not destroying any turf.","NA","Mentor"
"Hannah is just starting her career and as such may not have had the opportunity to demonstrate practical application in this area, however she is confident in her dealing with people.
","NA","Mentor"
"He did a great job tapping into employees knowledge.","STF","Mentor"
"He has very successfully taken the VR Immersive Space form a concept to a reality.","NA","Mentor"
"He is very confident in this particular field, he was made for it.","NA","Mentor"
"He is very organize, passionate toward every subject, and displays a well leadership skill.
","NA","Mentor"
"He lack a little self-motivation that could have been reflective of his leadership style, which was not as assertive.","NA","Mentor"
"He not only understands his strength and weakness, but he recognizes others' strength and weakness.","IDK","Mentor"
"He thrives in a group environment, and I believe he would benefit from more leadership tasks.
","NA","Mentor"
"Her leadership skills are still strong, but has difficulty engaging others in projects.
","NA","Mentor"
"His role in this internship did not specifically require the leadership skill, but it will be necessary in his future career.
","NA","Mentor"
"Honestly, I don't know if this program put Ryan in too many situations where he needed to demonstrate leadership of this sort.","NA","Mentor"
"Honestly, in a co-op position, surrounded by full time employees, there is not much opportunity to demonstrate leadership.
","NA","Mentor"
"Honestly, it's hard to pick one for this, but I'd say leadership.","NA","Mentor"
"I acted as a leader on the farm during each shift that I worked because of the independence involved.","NA","Student"
"I acted on behalf of Clemson internal communications when determining how to frame a story about Tiger Advocates.","NA","Student"
"I always asked questions that would lead to the best articles written with passion and knowledge, but one particular instance I was not getting as much of a response","NA","Student"
"I am the Assistant Program Director, it is my job to serve in assisting groups in determining objectives for the semester, and making sure that they are on task to meet their goals.","TC","Student"
"I am working at University of Texas at El Paso.","NA","Mentor"
"I asked for my seniors' opinions about increasing work performance rate.","STC","Student"
"I believe Jenna can grown the area of voicing her own opinions in a larger group setting--she has so much to say but often does not.","NA","Mentor"
"I believe leadership relates to my Ramen advertising campaign example as well.","NA","Student"
"I believe that I didn't provide her with enough opportunities to grow in this area.","NA","Mentor"
"I believe this happens a lot with me and my boss, we ask each other's opinions, advice or views on different tasks.","STF","Student"
"I chose leadership since Mary Elizabeth did not have the opportunity to lead in our research assistant position.","NA","Mentor"
"I could have chosen several for LaMarr, but I chose Leadership because LaMarr has demonstrated excellent leadership skills this semester, especially with his team of Student Event Coordinators.","NA","Mentor"
"I define leadership as an influence on the others around you.","TF","Student"
"I did not do very much leadership, I was mostly working on creating software alone.","NA","Student"
"I did not experience Ashley utilizing leadership skills to her full potential.","NA","Mentor"
"I did this very often with my co-intern, Alex.","NA","Student"
"I didn't give Daniel many opportunities to leverage others' strengths to achieve a vision.","NA","Mentor"
"I didn't see Maggie take a leadership role in leveraging her free time into new areas.","NA","Mentor"
"I do not believe Erika is always able to identify others strengths.","NA","Mentor"
"I do wish we had more opportunities to evaluate this competency.","NA","Mentor"
"I don't believe Jacob has had the opportunity to develop his leadership skills extensively at this time.","NA","Mentor"
"I don't know that he doesn't have this leadership skill, it was just not demonstrated in the internship.","NA","Mentor"
"I don't really feel like there is an area where she could improve.","NA","Mentor"
"I don't think my internship offered a lot of leadership opportunities because the whole point is to learn not lead!","NA","Student"
"I facilitated discussion about the types of cards we should use for Week of Gratitude.","IDK","Student"
"I feel leadership is the greatest are for improvement for Krystin because she is willing to take on any task given to her, but does not take the lead herself.","NA","Mentor"
"I feel like this is a tough question for my internship as a writer.","NA","Student"
"I feel that Andrew will be a strong future leader.","NA","Mentor"
"I feel that leadership comes with experience and while he shows the qualities to be a leader, this will come with time and opportunities.
","NA","Mentor"
"I feel that Melissa will be a great leader.","NA","Mentor"
"I feel that Mikaela is a leader, but true leadership takes a while to master so she could continue to work on this area.
","NA","Mentor"
"I felt that she was a bit reluctant to ask for help from other team members.","NA","Mentor"
"I got to a point where I felt that I could ask to head up an idea, mainly the idea to write for the Clemson Newsstand. 
","IDK","Student"
"I grew to be an expert in leadership this semester through continuous examination of my all of my mentors, including Tim Howard, Dr. Todd, and even Owen Phillips.","STC","Student"
"I guess leadership comes with experience and knowledge of the job and tasks to complete.","NA","Mentor"
"I had a problem mid-way through the semester with my higher up's not being responsible and allowing the lower ranking workers to get away with things that should not have been allowed.","TC","Student"
"I had the pleasure of leading our student mentors.","IDK","Student"
"I had the project of leading a development of a scholars program for first generation students.","NA","Student"
"I had to give a seminar presentation on the research my CI team and I did, and I was able to share lots of results from analyzing the data we were looking at and also share specific findings from certain group members. 
","NA","Student"
"I have been working on a program that will allow freshman physicist to take tours of biophysics labs.","NA","Student"
"I have helped with the it's not too late to study abroad campaign, by helping others figure out the best way to advertise for their program, since it is now my 2nd time with this campaign and other people's first time. ","NA","Student"
"I have observed my team lead- Aditya - who recognizes, respects, develops and capitalizes on the unique strengths of individuals from all backgrounds.","TF","Student"
"I have seen John display leadership with our summer bridge program.","NA","Mentor"
"I have seen Kylie grow in speaking up and sharing her perspective in a group.","STF","Mentor"
"I have the duty of coordinating a videographer, photographer and candidate for each story to schedule a meeting and then lead the meeting. 
","IDK","Student"
"I have witnessed my mentor repetitively respect, and develop new ways to incorporate individuals and their unique backgrounds into our campaigns and objectives.","TF","Student"
"I held an activity with my mentee's where they each filled out a personality evaluation.","NA","Student"
"I helped further connected the Alper Lab and the Sanabria Lab in the physics department.","NA","Student"
"I helped organize the other interns to work on parts of the marketplace store, whether it was something like taking images for content or working on advertising efforts.
","NA","Student"
"I helped our graduate assistant with the Intern of the Semester project.","NA","Student"
"I helped speak to our housing patrol people about how they can better serve the police department.","STF","Student"
"I helped teach the new interns to the best of my ability, however, there were still things that I had to get the managers to help me with. 
","IDK","Student"
"I honestly have not had many opportunities to witness Maddie's ability to articulate a vision for an assignment or assess the skills of others to achieve that vision.","NA","Mentor"
"I knew that I really wanted to highlight the people that work behind the scenes to make recycling at Clemson possible.","NA","Student"
"I lead a project to set up the groundwork for a study abroad program to Lorraine, France through Georgia Tech.","NA","Student"
