"Labeled Data","Final Label","Dataset Name"
"Sometimes, we had different arguments and didn't agree with another person's argument.","NA","Student"
"Of course, that's just my opinion.","NA","Student"
"For example, the Watt Center emphasizes cleanliness throughout its building as a part of its brand, so I ensured that promotional materials within the Immersive Space fell within these guidelines (were either explicitly Watt-sanctioned or adhered to the spirit of the Watt brand).","TC","Student"
"In the end, I was able to align the visions of a marketing team with big time shareholders towards a common goal for innovation in the senior medical sector.
","TF","Student"
"As I briefly explained before, one of my more significant projects was to implement an embassy-wide security accountability system.","NA","Student"
"Deepa needs to learn to share her knowledge and understanding of technology and processes to better engage others into her projects.
","STF","Mentor"
"As I briefly explained before, one of my more significant projects was to implement an embassy-wide security accountability system.","NA","Student"
"Deepa needs to learn to share her knowledge and understanding of technology and processes to better engage others into her projects.
","NA","Mentor"
"To do this, I set up daily training sessions where employees could come and learn about the system and give their feedback.","STF","Student"
"Adrian could benefit from more opportunities to learn how to apply his strengths to lead others.
","NA","Mentor"
"A good example of leadership would be the agents in my office planning for the fair.","NA","Student"
"Adrian could benefit from more opportunities to learn how to apply his strengths to lead others.
","NA","Mentor"
"A good example of leadership would be the agents in my office planning for the fair.","NA","Student"
"Adrian could benefit from more opportunities to learn how to apply his strengths to lead others.
","NA","Mentor"
"We could have just all done something on our own but instead we all helped each other with the planning, preparing, and running of each others activity for the fair.","NA","Student"
"I would then also give my opinion.","NA","Student"
"In doing so, the three of us had to work together to achieve experiment goals originally set by myself and Dr. Alper through the two years I have been in the lab.","TC","Student"
"This includes groupthinking with other people and reaching a common goal based on shared ideas.
","TF","Student"
"This was to make sure as many people got a voice in a decision that heavily impacts them. 
","TF","Student"
"We had some meetings where we gave everyone an open platform to give suggestions and then discuss the packaging of the overall space and mechanisms of seating mechanisms as well. 
","STF","Student"
"In our office we have little discussions every morning that include several people in the office, and during the times that we were very busy planning and executing the various events I have mentioned, everyone would be a little discouraged and disheveled.","STF","Student"
"Deidra has one of the hardest group of mentees to wor with (transfer students) but she has been able to reach them and for a great group of students.
","NA","Mentor"
"Some assistance from my side helped them to complete their task and helped other teams to use the concept to make progress.
","IDK","Student"
"In our weekly Monday meeting my teammates would come up with creative ideas and i always respected them and gave credit when they were due.","STF","Student"
"In pruefcubing, I saw this almost everyday.","NA","Student"
"It was numerous times that a problem would be found, leaving a team of engineers huddle around the Cube, with the Cubing Leader leading the discussion.","NA","Student"
"Delaney came into this internship already participating in several of the programs that I am involved in.","NA","Mentor"
"She was able to take our work to the next level by taking the lead and forming new partnerships with groups on campus!","NA","Mentor"
"She also took the lead with our instagram page which has resulted in much more engagement with other students!
","NA","Mentor"
"I am also a leader when I plan events with our clients because we have to help them make decisions.
","NA","Student"
"She also took the lead with our instagram page which has resulted in much more engagement with other students!
","STF","Mentor"
"In some of the meetings I attend, I serve as the representative of the Faculty Senate Office.","NA","Student"
"We had to be quick on our feet with innovative ideas given a limited budget.","NA","Student"
"In the Alper lab, my research as direct connections to several other projects that are going on in the lab; these serve to branch biology with physics.","NA","Student"
"Since we come from such different backgrounds, often time our approach to the same issue can be very different.","IDK","Student"
"She gave them the directions and assisted them when necessary.","IDK","Student"
"The students demonstrated an understanding of the material during a lesson later in the day. 
","NA","Student"
"Delaney doesn't see herself as a leader, but I put her into a leadership position of sorts partway through the semester, and she took the reins and ran with it.","NA","Mentor"
"Although the outcome wasn't what I was hoping (this was for our division intern project...which fell flat on the staff side, mostly, but partly on the intern side), she was willing to allow me to put her into a leadership position for a project that she wasn't initially supposed to lead, and was asked to kind of pick up the pieces and produce a product.","NA","Mentor"
"They weren't really able to pull it together  unfortunately  but she set off on the right path.","NA","Mentor"
"There's some work there to do, but I think she has great potential as a future leader.
","NA","Mentor"
"In the Makerspace I have led many of our team meetings.","NA","Student"
"Since we have a limited number of equipment, students are often competing for the use of this equipment.","NA","Student"
"This has trained me to balance the needs of multiple different groups and people and maximize the efficiency of the space so that everyone benefits.
","STF","Student"
"We all understand how important every detail is and know that if our work is thorough, then our donors will want to keep coming back to the football games. 
","STC","Student"
"In the operating room, there are various nurses and sometimes multiple doctors working on different aspects of patient care.","NA","Student"
"In the regular (often) meetings that we had to have for crossing traffic detection, because of the complexities of the work, members of the team used to express different opinions for each part of the work.","NA","Student"
"In the yearly water consortium held in Clemson this year, stakeholders form a multitude of government organizations came together to discuss ways to improve water quality across the upstate of South Carolina.","NA","Student"
"Delaney has been an intern in the Studio for awhile and you can see the other interns look to her for guidance and help.","STF","Mentor"
"It is a role she embraces and thrives in.
","NA","Mentor"
"In this internship, there were many nights spent working third shift.","NA","Student"
"We then presented our work to the project lead through a PowerPoint, and he was impressed with our teamwork and accomplishments.
","STC","Student"
"In training this semester I had to speak infront of my peers and tell them the importance of what we do here in Aspire. 
","STC","Student"
"Concrete Testing, the project group that reported to me, was an extremely productive and effective group and were lead by a great project manager.","TC","Student"
"Interacted with workers during the internship and learned from their experience about the challenges and their recommendations on process improvements
","NA","Student"
"Delaney has been tasked to complete one big project before her internship has finished and was recommended to seek out advise and insight from people in other areas of the business.","NA","Mentor"
"Although she has done this to an extent, I feel she could make better use of other's knowledge and use it to her advantage.","IDK","Mentor"
"Delaney should feel confident and empowered to ask senior colleagues for advise and help to inform her work.
","NA","Mentor"
"It was a common occurrence that myself or one of my coworkers would run into a challenge in Revit, our drafting and modeling software (technically BIM software, or building information model).","NA","Student"
"In the end, we had the same goal, but there are often multiple ways to reach that goal.","NA","Student"
"It was a common role in the Makerspace to get students working on a project together on the laser cutter.","NA","Student"
"i was happy to be a part of these conversations and encourage them to talk it out and see what they liked better!
","STF","Student"
"It was during the audit when the Director of Quality had taken responsibility of the project and all departments were working under him.","TC","Student"
"It was great to see how the two ladies directly located in my office communicated, collaborated, and delegated tasks.","NA","Student"
"Demonstrated great leadership with her mentees.
","NA","Mentor"
"It was my personal goal this internship to promote mental health awareness.","STF","Student"
"I led our team of interns in the school book project and organized the whole thing.","NA","Student"
"Diamond does a great job taking initiative and following through with her projects.","NA","Mentor"
"She is also an RA and is a natural leader.
","NA","Mentor"
"I've observed Mark and his vision for how the building is to be run when we were learning the way the systems interact with each other. 
","IDK","Student"
"I've spent the semester watching my mentor learn about our new employees and how they each work best and learn.","IDK","Student"
"Jackie had all of her interns meet with her as a group at least once a week.","NA","Student"
"We were given the chance to put our two cents into discussions rather than just being told what to do.","TF","Student"
"Jordy, who is the newest member of the compliance team, showed her worth by putting in more work and vouching for herself than anyone else in the office. 
","STC","Student"
"I have to work well with my co-workers, show them respect and delegate efficiently.","STF","Student"
"Didn't have much opportunity for this
","NA","Mentor"
"We would also develop more tasks depending on what their recent events were. 
","NA","Student"
"She allowed us to use our strengths and capitalize them to make a great project, but also lettign us work on somethings that we may have wanted to improve, if we chose to do so. 
","TF","Student"
"We had a new intern take over the treasurer position and at first he was quite overwhelmed with all the responsibilities and decisions that needed to be made.","NA","Student"
"Last semester, I attended the CECAS Donors Event on behalf of the PEER/WISE Department.","NA","Student"
"By observing my boss Meredith Wilson lead this session, I was able to learn much about useful public speaking skills and ways in which to unite a group of people who do not know one another in a common goal of being safe while abroad.
","TF","Student"
"Lead and organized sewer inspections with contractors to more efficiently get the job done
","STC","Student"
"Displays great leadership with her mentees and guideing them in their freshman year.
","NA","Mentor"
"Lead projects and helped lead training
","NA","Student"
"I feel that I exemplified this by taking charge everyday of the work assigned to me and then going above and beyond to complete that work. 
","IDK","Student"
"During my internship, I had to take partial leadership of overseeing the TigerSTEPS program.","NA","Student"
"As an intern, I had to act as a leader and make my own decisions, while also checking in with a supervisor.","NA","Student"
"As maintenance lead this semester, I lead the task in fixing all the equipment in the Makerspace.","STC","Student"
"During this next semester, it will be rewarding to see Allie's improvements in this area.","NA","Mentor"
"As maintenance lead this semester, I lead the task in fixing all the equipment in the Makerspace.","NA","Student"
"I will be asking Allie to lead a project.
","NA","Mentor"
"A large component of my internship involves empowering the girls in the program to love themselves and lead healthy, active lifestyles.","TF","Student"
"Ajinkya can take an active role and be a self-starter in projects which will help him develop as a leader.
","NA","Mentor"
"A large component of my internship involves empowering the girls in the program to love themselves and lead healthy, active lifestyles.","STF","Student"
"Ajinkya can take an active role and be a self-starter in projects which will help him develop as a leader.
","NA","Mentor"
"A large component of my internship involves empowering the girls in the program to love themselves and lead healthy, active lifestyles.","TF","Student"
"From their journal reflections, I felt that I watched the girls grow more confident in themselves.","NA","Student"
"Leadership is the area I think I gained the most this semester.","NA","Student"
"Leadership styles are the focus of our research, improving my understanding of this competency. 
","NA","Student"
"Leadership wasn't needed.","NA","Student"
"Leading small groups during academic recovery meetings meant that I had to facilitate discussion with students.","STC","Student"
"During this semester we identified that Chip would be the best person to lead the Makerspace in the Fall, based, on part, to his leadership skills
","NA","Mentor"
"As mentioned above with regards to groups coming down for trips, myself as an intern was in charge of two specific groups that dealt with WASH education and the Center of Excellence group.","NA","Student"
"During this semester we identified that Chip would be the best person to lead the Makerspace in the Fall, based, on part, to his leadership skills
","NA","Mentor"
"As mentioned above with regards to groups coming down for trips, myself as an intern was in charge of two specific groups that dealt with WASH education and the Center of Excellence group.","NA","Student"
"During this semester we identified that Chip would be the best person to lead the Makerspace in the Fall, based, on part, to his leadership skills
","NA","Mentor"
"I was in charge","STC","Student"
"This has allowed me use leadership skills to foster collaboration and achieve the results we need to accomplish our task. 
","STF","Student"
"We organized a bee tote that the teachers took with them after the class.","NA","Student"
"Many mentors had different approaches to initially reaching out to their mentees.","NA","Student"
"I was given the opportunity to hear about personal stories that helped inspire these people.","NA","Student"
"Many of the other student workers would ask me what there was today, and we would all work together to accomplish goals.","IDK","Student"
"As mentioned above, I lead a project at my work place called Power BI dashboard creation which requires a joint effort from many engineers.","NA","Student"
"Emily as our senior student intern served as a model and a guide for all of the other interns helping us to integrate them into our workflow very smoothly.
","STF","Mentor"
"As mentioned above, I lead a project at my work place called Power BI dashboard creation which requires a joint effort from many engineers.","NA","Student"
"To finish projects as efficiently as possible, projects are divided among the team based on their strengths.","STC","Student"
"He would often build games the sales department would take part in.","NA","Student"
"Once all three of your balloons were popped, you were out.","NA","Student"
"Me and Matt would often debate what we thought was the best way to finish plots the fastest or do the most amount in a day. 
","NA","Student"
"Emily has always been a leader but this year grew in this area even more so being our most senior intern and serving as an example and guide to our other 4 interns.
","STF","Mentor"
"As evident, the different background of the team members requires special attention to communication in order to obtain alignment.","STF","Student"
"In order bridge this gap, a meeting was organized where I presented UX tasks and their corresponding implications to the project with visuals which would be most effective for a cross-functional team.","NA","Student"
"Being able to tell the stories of individuals who share different beliefs, values, and goals is important for showcasing what each individual offers to Clemson.","STF","Student"
"At the beginning of the semester he did a good job of introducing us and helping us get to know each other better.","NA","Student"
"Ministry leader Tammie Southerland knew how to pull out the talents in her staff and interns.","STF","Student"
"Monthly there was a one on one lunch with the mentor of the company to access my work and also the company's work with the internship.","IDK","Student"
"Emily hasn't had the opportunity to take the lead on a significant project.","NA","Mentor"
"We plan to begin giving her this opportunity beginning in the spring.
","NA","Mentor"
"As her assistant, I often filled in fo her when she could not be present, delegating tasks and creating dialogues with individuals from different departments to improve the programs for the future.
","IDK","Student"
"By working with this event, thanking the sponsors, and showing them what these internships opportunities are giving me, together we pursue a shared vision of developing young students to get real work experience before graduating.
","STF","Student"
"We were placed together because her program and my program (CISabroad) have very similar trips to Australia and New Zealand that allowed us to inform students on both our programs.","NA","Student"
"Often people associate leadership with position, but in reality, that is not necessarily true.","TF","Student"
"I served as the communications director for the Study Abroad Ambassadors, and through that position I was able to coordinate and execute a plan for the It's not too late to study abroad campaign.","STC","Student"
"My boss always conducts meetings every Monday at 9:30 to review our goals for the previous week and discussing our goals for the upcoming week.
","STC","Student"
"Emma shows tremendous initiative and maturity in developing, communication and bringing to fruition her vision for Clemson's Sustainability initiatives.","STF","Mentor"
"As mentioned in the Communication and Collaboration competencies, I had to work with a diverse team of individuals (from Quality directors to line operators) to improve the IQC process.","STC","Student"
"Emma shows tremendous initiative and maturity in developing, communication and bringing to fruition her vision for Clemson's Sustainability initiatives.","IDK","Mentor"
"She has outstanding leadership skills that will take her far in her career.
","NA","Mentor"
"My boss does a very good job assigning projects to people based on their strengths and unique educational backgrounds while pushing them to always improve and broaden their capabilities.
","TF","Student"
"I saw my mentor, Harolynn, lead these students to all understand the goal they are trying to achieve.","STF","Student"
"My boss often headed projects and was good at communicating what needed to be done.
","IDK","Student"
"so she has lots to look after.","NA","Student"
"Emmaline has had to work with many different stakeholders, including students, faculty, staff and external organizations, and she has been able to achieve her vision in doing so.
","STF","Mentor"
"As mentioned in the responsibilities , I was leading the Conversion projects that involved conversion of all dashboards developed in SAP into something visually attractive and user friendly using Microsoft Power BI.","NA","Student"
"Emmaline has had to work with many different stakeholders, including students, faculty, staff and external organizations, and she has been able to achieve her vision in doing so.
","IDK","Mentor"
"So coming up with something that satisfied everyone's need was difficult yet important.
","TF","Student"
"My boss was having a hard time developing the pesticide license exam and she called in an inspector and I got to see them first hand work together.","NA","Student"
"My boss, being a German-American, often had to recognize and respect the unique strengths of individuals from all backgrounds.
","STF","Student"
"My boss, Lax, continually opens the dialogue between employees and capitalizes on their great qualities and strengths in front of others and in groups to open up possibilities for overlap in employees working on projects together. 
","STF","Student"
"I was fortunate to build a relationship with TransVoyant and work out problems on both sides to form a better partnership.
","IDK","Student"
"Eric was great at working independently and along with others to achieve project goals and has the capability to be a great leader.","NA","Mentor"
"During his internship with us he did not take leadership over the projects he was given to bring them to success, rather he relied on others.","NA","Mentor"
"This may be a note for us and our internship to provide more opportunities for leadership to the students.
","NA","Mentor"
"My host/supervisor in the company is the team lead for this project and I observed how he coordinated with full time employees and other interns in order to combine all the individual knowledge, skills, background and tasks in such a way that in totality the project turns out to be a success. 
","STF","Student"
"After, we would compile our concrete findings into a presentation for our boss to then pass on to the client.","NA","Student"
"We now do this with all of our screenings to get the most effective feedback. 
","NA","Student"
"My leaders capitalize on all of the strengths of my coworkers to help the restaurant flow smoothly, but also capitalize on the strengths of the guests to make them feel like winners as well.
","IDK","Student"
"Most of my interactions with Mr. Babb came from our Monday morning staff meetings.","NA","Student"
"My internship was all online","NA","Student"
"My internship was based less in sharing ideas than in completing tasks as necessary.","TC","Student"
"Eva didn't have many opportunities to lead others while in her position.","NA","Mentor"
"However, when given the chance she jumped at it.
","NA","Mentor"
"My leadership wasn't showcased necessarily in a group setting, considering we never had group projects with other coworkers.","NA","Student"
"My manager (Rory Marsoun) showed exceptional leadership skills during the course of this internship.","NA","Student"
"My manager and I were constantly discussing ways to improve the office environment and its organization to best suit the needs of our employees.","NA","Student"
"My manager grouped me and 2 other interns together for the locker project and helped us lay out a plan to create a functioning demo.
","STF","Student"
"My manager took everyones opinions seriously and discussed each candidates merits.","STF","Student"
"He had to be clear so that we knew what to do. 
","STC","Student"
"so I was able to help both my team and my mentor accomplish group assignments or personal assignments we were given. 
","STC","Student"
"Even though I consider Ian a great leader he introverts very quickly which isolates his work function, with he knowledge drive and charisma he will be a great leader.
","IDK","Mentor"
"MY MENTOR GAVE ME THAT FEEDBACK","NA","Student"
"FORWARD TO IMPROVE.
","NA","Student"
"My mentor has always called out great work done by her coworkers.","IDK","Student"
"The clients often have an idea of what they want and the theme of what it should be.","NA","Student"
"My mentor has to accommodate different views for all of his work, since people from each of the departments in the College of Science have different visions for flyers, etc.
","IDK","Student"
"Even though Reilley is an excellent Cast member, she needs to learn how to lead and push her peers to do better and improve their performance.
","STC","Mentor"
"A lot of people come to my boss for advise and i picked up very good lessons from it
","NA","Student"
"Alex could use additional opportunity leading projects to gain this type of experience.
","NA","Mentor"
"When I was working on collaborative code with a partner, my mentor made sure that each of us were doing things that we were best suited to do.","IDK","Student"
"When we have any questions about the function of the building's plan, she will communicate with us in a timely manner, and we will discuss the work of the past week and the work we need to do next week in each weekly team meeting.
","TC","Student"
"We hoped this would increase the chances of a product catching a customer's eye.
","NA","Student"
"My mentor ius really great at getting people to work together, especially within our lab.
","STF","Student"
"She gives us projects that are a good fit for us personally and utilizes our unique skills.","IDK","Student"
"Even though she will be studying abroad in the spring and wont be interning for the Watt Center, I would still love to keep up with Carolines growth in her leadership skills.","NA","Mentor"
"She is poised, fun to be around and really understands the work she is doing.","NA","Mentor"
"She is able to see the bigger picture and long-term goals, which would serve her well in leadership roles.","NA","Mentor"
"I think she possesses many of the characteristics and qualities, now its just time for her to pull all of them together as a leader.
","NA","Mentor"
"For instance, I'm better at coding than working at hardware, so I'm usually given the coding projects for the semester. 
","NA","Student"
"My Mentor showed great leadership in how she helped me throughout this internship.
","STF","Student"
"My mentor Terri has to communicate with all people within the department on a daily basis because she handles so much of the administrative work.","NA","Student"
"My mentor used great leadership skills utilizing her interns in effective ways to get projects done.","TC","Student"
"Even though she wont be interning for the Watt Center this fall, I would still love to keep up with Hannahs growth in her leadership skills.","NA","Mentor"
"Hannah follows through on what she says she will do, she makes good decisions, and she has a great personality.","NA","Mentor"
"She is able to see the bigger picture and long-term goals, which would serve her well in leadership roles.","TF","Mentor"
"I think she possesses many of the characteristics and qualities, now its just time for her to pull all of them together as a leader.
","NA","Mentor"
"He treated all of us interns as individuals and delegated tasks based on our strengths.","TF","Student"
"In contrast, when speaking with me, Hudson would use encouraging and softer language. 
","STF","Student"
"My mentor, Jackie, was always recognizing her interns for the great work that we were producing.","IDK","Student"
"I worked with another intern who was a great writer.","NA","Student"
"My mentor, Joe Robbins, recognized my strengths in print design and deliberately gave me projects that capitalized upon this strength.
","IDK","Student"
"My mentor, when I came to this program, introduced me to his graduate students and his summer workers.","NA","Student"
"My mentors were both great.","NA","Student"
"As part of observing the group therapy of Yoga for Wellness, I was able to participate in the group dynamic.","NA","Student"
"Everyone have our own personality and its good to understand the variety, but proactivity and leadership are areas that must be improved everyday, no matters what type of personality you have.","NA","Mentor"
"As part of observing the group therapy of Yoga for Wellness, I was able to participate in the group dynamic.","NA","Student"
"In Gwyn's case, leadership is good but shyness kills it.","NA","Mentor"
"I truly believe that improving this areas will make her a excellent professional.
","NA","Mentor"
"This project required coordinating the requirements of the testing engineers, the engineers who's parts were to be tested, and the fabricators who would be building the shelf.","NA","Student"
"Often times when working in marketing for a new company is means offering insight about things you would do differently or change.","NA","Student"
"I had to overcome this fear and share the ideas with the team and provide them with creative insight as to how CU-ICAR would benefit with the changes that I would like to implement.","NA","Student"
"My project lacked focus for a good part of the internship.","IDK","Student"
"Sometimes I'll ask them the reason why they want to do a certain thing, or sometimes I'll just ask them for more information, etc.","NA","Student"
"My site mentor is a role model and leader in my field and someone that I look up to and respect.","TF","Student"
"From the summer interns that he took on, including myself, to the most senior researchers at the center  he is very skilled at fostering growth and professional development amongst the employees that work for him while also staying on top of his many responsibilities and tight schedule.","TF","Student"
"Fewer opportunities have been provided in this area thus far.
","NA","Mentor"
"As part of our training our supervisor and department had representatives from Clemson SAGA (Sexuality and Gender Alliance) come in and speak with all of the mentors to share their experiences about their life and with coming out.","NA","Student"
"Fewer opportunities have been provided in this area thus far.
","NA","Mentor"
"She also leads a small group within the Sustainability Commission to achieve the goal of updating the Sustainability Action Plan, which I was able to work on as well.","NA","Student"
"At the beginning of the semester, I began hearing discussions/complaints between coworkers regarding compensation.","NA","Student"
"After hours of discussion, my coworker felt it was best to create a group chat with all that felt they were underpaid, and added Quinton and me to it as well.","NA","Student"
"While all of this was going on, our supervisor was working on finding a short term solution to ease the tension while other full-time staff work on finding a more long-term solution.","IDK","Student"
"My supervisor and other colleagues worked on different aspects of the same project and got done with multiple projects in just 2 months .
","NA","Student"
"The synergy made our work efficiency better.
","IDK","Student"
"My supervisor brought together students from various majors and social groups to develop a plan for getting students more involved at Brooks.
","IDK","Student"
"Furthering leadership skills simply requires additional time and experiences to add to her already growing knowledge.
","NA","Mentor"
"As part of the sustainability cross-cutting team, I held several meetings from time to time to help realize system-level objectives in our team. 
","STC","Student"
"We feel that all of our opinions and therefore all of our work is a valued part of the team.","IDK","Student"
"She separated the work among us by putting me in charge of figuring out which computer program would work best for us to design a database to keep track of changes.","NA","Student"
"Some projects, like the highly technical baseball projects, were better completed by students that already had a background in baseball and were familiar in terminology.","NA","Student"
"My supervisor had to speak about what PEER WISE is and does to students and parents at the event that we hosted.","NA","Student"
"She explained things in a way that everyone understood and she made sure to take the time to explain something if I didn't understand.","STF","Student"
"And words will never describe how grateful I am for this wonderful opportunity. 
","NA","Student"
"My supervisor knew that I was proficient in MS Excel and capitalized that strength of mine.
","IDK","Student"
"Gabrielle didn't have a lot of opportunities to show off her leadership skills.
","NA","Mentor"
"My supervisor manages four of us interns, and she does a great job at assigning us projects based on our interests and skill-sets.","STC","Student"
"My supervisor Sheri consistently kept up with how each one of her employees were doing personally and with their work.","TF","Student"
"My supervisor used everyone in the office's strengths to create successful events.","STC","Student"
"Great intern and a great person to work with.","NA","Mentor"
"As PhD student, I work on the project with different researchers and published papers as first author in top-level conference.","NA","Student"
"This is the only area that I can think of that would need improvement, which will come with experience.
","NA","Mentor"
"If it was tech related she would assign IT to do it and so on.
","STC","Student"
"Because of this, I was able to be included in every step of the design process for this program.","NA","Student"
"She assigned this specific duty to an agent that is a certified personal trainer.","STC","Student"
"Without employing her resources to jobs which best suited their interests and abilities, this new program would not have turned out as successful as it is going to be. 
","STC","Student"
"Our engineering team had a very harmonic relationship with these shop technicians which was beneficial to everyone.","STF","Student"
"During our group meetings she allows us all to speak and be part of the dialogue.
","NA","Student"
"He organizes informal departmental meeting every week through which everyone is allowed to share his/her work and issues they are facing.","IDK","Student"
"Great leader of the interior design team.","NA","Mentor"
"As president of the study abroad interns for my fourth and final semester, I definitely demonstrated leadership more than at any other point during my last three semesters.","NA","Student"
"Great leader of the interior design team.","IDK","Mentor"
"Takes charge and does not hesitate to advance the team by collaborating with faculty and staff.
","NA","Mentor"
"I established and utilized programs including GroupMe and Doodle Poll to make this possible.","NA","Student"
"And I particularly remember her leading the group towards improving the organization by encouraging us to Lead committees within PEER that would enhance our visibility on campus throughout the semester.
","STF","Student"
